chr	coord	esc_max_exp	npc_max_exp
chr5	10200000	0.30003	0.00000
chr6	43480000	0.00497	0.00422
chr19	22240000	0.00000	0.00000
chrX	29480000	0.02923	0.00000
chr10	118480000	0.01548	0.00000
chr3	132640000	0.00000	0.00000
chr1	5000000	0.03009	0.00000
chr19	22480000	0.00000	0.00000
chr4	47600000	0.00000	0.00000
chr1	112880000	0.00000	0.00000
chr13	15480000	1.73367	1.02454
chr9	83960000	20.11728	1.48246
chr2	164080000	21.50937	6.19882
chr5	25560000	0.73225	0.00000
chr14	50760000	0.00000	0.00000
chr1	74600000	9.06674	2.26604
chrX	168400000	0.14186	0.28110
chr6	58600000	14.22736	3.92034
chr2	128880000	0.10994	0.06880
chr15	99080000	6.49305	0.15309
chr11	57840000	15.27090	0.01589
chr6	101920000	0.00000	0.00000
chr15	80240000	13.85492	7.02224
chr4	62720000	0.00000	0.07518
chr11	107920000	0.05359	0.09516
chr13	120040000	0.00000	0.00000
chr10	40160000	0.81378	1.22040
chr7	126960000	2.82791	0.69255
chr3	68720000	0.00000	0.00000
chrY	34720000	0.00000	0.00000
chr19	34680000	0.07033	0.07167
chr16	46520000	5.54783	12.58207
chr17	45520000	5.31131	4.74258
chr1	9920000	0.25259	0.00268
chr8	24840000	0.00000	0.04056
chr9	66800000	0.09768	0.07012
chr8	94160000	6.64031	0.91400
chr6	107640000	0.00000	0.00000
chr16	48080000	0.00000	0.00000
chr11	37680000	0.00000	0.00000
chr2	104160000	0.02272	0.09649
chr10	86840000	0.08072	0.06855
chr13	58440000	239.58600	4.57584
chr12	30600000	8.59278	9.54317
chrY	73040000	0.00000	0.00000
chr9	7520000	0.00000	0.00000
chrY	17440000	0.00000	0.00000
chrX	120480000	0.00000	0.00000
chr17	91880000	0.00000	0.00000
chr3	103360000	0.41675	0.68659
chr17	32400000	0.62506	0.00000
chr2	177600000	23.79509	0.29357
chr13	18960000	1.36053	0.00000
chr11	101320000	52.06517	0.00000
chr3	38160000	0.00000	0.00000
chr18	55000000	1.18271	0.53191
chr1	51040000	0.00000	0.00000
chrX	47400000	0.00000	0.00000
chr1	26600000	0.00000	0.00000
chr3	149360000	0.00000	0.00000
chrX	8280000	4.68149	0.07078
chr9	39760000	0.00000	0.00000
chr4	64080000	0.04807	0.00000
chr1	102440000	0.00000	0.00000
chr7	85280000	0.00000	0.00000
chr8	27440000	0.17457	0.00000
chr10	59240000	11.97683	0.00000
chr3	107120000	0.00628	0.00000
chr11	45200000	0.00000	0.00000
chr4	13520000	78.29767	60.15361
chr8	3720000	0.02609	0.00708
chr11	52280000	0.19969	0.07974
chr6	41520000	0.00000	0.00000
chr14	57160000	0.00000	0.07690
chr2	20040000	0.25716	0.00000
chr3	30720000	1.36460	0.00000
chr5	77000000	26.64114	15.22692
chr13	30760000	0.00000	0.00000
chr2	92920000	0.31785	1.29058
chr3	27920000	0.00000	0.00000
chrX	19360000	0.34914	0.00000
chr6	100160000	0.00000	0.00000
chr7	107320000	0.00000	0.00000
chr12	57200000	0.01167	0.66712
chr13	25040000	3.22176	5.29263
chr17	26640000	0.00000	0.03869
chr4	57800000	0.00000	0.15252
chr5	116120000	0.09049	0.00000
chrX	73840000	66.95688	0.00000
chr8	36040000	830.15503	473.99548
chr11	114360000	0.00000	0.00000
chr3	116880000	11.62411	0.00000
chr5	49160000	0.00000	0.00764
chr2	127400000	0.09772	0.23315
chrY	77600000	0.00000	0.00000
chr6	68640000	0.00000	0.00000
chr6	6840000	0.00000	0.00000
chr3	151800000	0.00000	0.00000
chr3	133800000	0.00000	0.00000
chr5	134640000	44.49478	1.08331
chrX	96160000	0.00000	0.00000
chr17	24200000	3.10858	0.82968
chr2	58280000	0.00635	0.01079
chr13	44760000	70.92005	11.68079
chr6	128640000	0.01171	0.00000
chr6	4920000	6.82413	0.11144
chr11	72520000	0.23789	0.35353
chr14	57920000	10.01646	14.77374
chr4	88600000	23.75974	0.00000
chr16	84320000	0.17457	0.00000
chr7	86400000	0.00000	0.00000
chr9	61400000	3.39178	0.51095
chr8	68280000	0.63225	0.02918
chr13	41640000	1.85223	5.36350
chr12	81440000	0.38790	0.15837
chr5	53160000	0.00000	0.00000
chr7	24720000	0.00000	0.00000
chr18	68760000	0.00000	0.00000
chr9	83520000	0.00000	0.00000
chr17	55960000	6.15730	0.13558
chr6	42800000	77.65561	56.83991
chr11	23040000	0.93054	0.57373
chr5	114600000	0.25571	0.52016
chr5	97000000	0.80839	0.58851
chr6	138160000	1.41970	12.11145
chr14	13920000	0.36465	0.00000
chr14	19560000	0.97065	1.63801
chrY	60600000	0.00000	0.00000
chr1	68720000	0.00000	0.79010
chr17	33120000	2.50694	3.73103
chr9	106520000	0.40680	0.02879
chr13	48880000	0.62855	1.84742
chr14	106120000	0.54688	0.03917
chr3	154360000	0.01566	0.00000
chr4	143440000	11.30751	0.00000
chr7	4760000	11.91873	0.00000
chr9	124160000	0.03026	0.02141
chr18	13040000	0.00000	0.01032
chr6	37720000	20.92344	17.98390
chr8	9920000	0.00000	0.00000
chr4	133400000	1.32618	0.00000
chr3	73200000	0.00000	0.00000
chr7	36760000	0.06263	0.00000
chr12	86960000	7.43621	5.80933
chr5	89480000	0.05062	0.11177
chrX	7880000	12.71766	1.22585
chr7	5680000	0.00000	0.00000
chr1	4600000	0.00000	0.00572
chr15	100640000	23.03657	0.84912
chr14	49560000	0.03589	0.00000
chr2	158240000	0.17200	0.42577
chr11	88240000	27.86263	22.91899
chr2	128800000	0.00000	0.12792
chr18	57880000	13.40466	6.42764
chr4	40800000	47.61277	54.22211
chr9	92720000	0.00000	0.00000
chr7	14840000	0.00000	0.00000
chrX	156800000	0.00000	0.00000
chr9	17040000	238.67427	79.85380
chr2	108120000	0.00000	0.00000
chr9	76240000	0.00898	0.00000
chr1	127680000	0.05658	3.63295
chr9	75640000	3.95369	2.56441
chr7	25840000	68.23238	0.00000
chr11	58480000	0.06805	0.00000
chr4	89240000	0.20958	0.15573
chr5	43360000	0.10042	0.00000
chrX	75040000	0.00000	0.00000
chr9	53400000	1.54803	3.73922
chr5	64200000	0.03912	0.06644
chr3	152240000	20.66846	26.02440
chr1	143720000	158.84890	46.34047
chr7	74400000	0.00000	0.00000
chr5	88280000	0.00000	0.00000
chr1	52160000	0.00000	0.00000
chr3	95360000	20.68221	0.00000
chr2	89880000	0.00000	0.00000
chr10	114920000	0.00000	0.09761
chr9	21640000	22.76945	0.71559
chrX	4560000	0.00000	0.00000
chr13	24360000	0.02622	0.00000
chr14	103720000	0.00602	0.00000
chr13	107920000	4.33421	8.09105
chr7	108080000	0.00000	0.00000
chr9	90320000	0.00000	0.00000
chr1	181880000	51.93279	0.82046
chr16	78280000	0.00000	0.00000
chrX	8040000	25.55035	18.77998
chr2	95840000	0.00000	0.00000
chr5	51880000	0.00000	0.02676
chr9	107080000	0.00000	0.00000
chr1	20840000	120.39698	0.00000
chr18	57560000	0.01382	0.00000
chr16	52480000	0.11804	1.24297
chr3	82000000	0.00000	0.00000
chrX	107800000	0.16551	0.03514
chr6	69320000	0.00000	0.00000
chr9	71880000	0.12830	1.47450
chr1	87800000	407.48100	876.19750
chr5	145320000	3.77840	0.74388
chr7	6360000	1.43684	0.94286
chr2	150560000	0.00000	0.00000
chrX	33320000	0.00000	0.00000
chr3	10800000	0.00000	0.00000
chr11	48960000	46.50745	20.96022
chr17	73960000	0.00407	0.00000
chr17	30800000	0.00000	0.00000
chr15	8000000	2469.81172	1430.97768
chr15	93200000	23.81368	11.42275
chr9	123560000	15.61559	18.71317
chr6	145960000	0.00748	0.00000
chr8	81840000	0.00000	0.01172
chr12	39480000	0.00000	0.00000
chr3	98360000	55.60078	91.92604
chr8	124760000	9.04281	0.16888
chr9	64320000	249.58098	17.27228
chrY	3440000	0.11897	0.00000
chr1	167000000	0.02000	0.03397
chr3	88040000	0.27940	0.01396
chr13	32960000	0.00000	0.00000
chr2	174680000	0.00952	0.00000
chr19	53040000	1.10964	0.78526
chr11	97400000	6.18601	8.74228
chr15	41200000	0.00000	0.00000
chr19	12280000	0.11974	0.00000
chr17	29000000	2.06336	1.10667
chrX	128560000	0.77185	0.00000
chr4	18880000	13.19400	9.28342
chr5	57760000	0.00000	1.87559
chrX	58360000	0.00000	0.00000
chr10	62680000	30.83822	36.35712
chr17	93280000	6.28447	0.88947
chr11	69880000	2.12655	0.38834
chr6	66880000	4898.45268	3280.45851
chrY	28720000	0.00000	0.00000
chrX	76640000	0.00000	0.00000
chr10	59880000	4.71823	4.22335
chr13	27360000	0.00000	0.00000
chr11	76280000	18.13762	3.10688
chr6	60440000	0.00000	0.00000
chr6	141640000	0.02274	0.00000
chrY	34320000	1.09710	0.00000
chr10	120400000	0.05180	0.00000
chr4	35440000	0.00000	0.00000
chr3	104080000	0.06996	0.20793
chr8	46560000	11.93629	4.86654
chr1	173080000	0.00000	0.00000
chr7	6400000	1.32583	0.45063
chr3	128320000	0.00000	0.00000
chr6	57720000	10.54551	0.00000
chrY	89760000	0.00000	0.00000
chr7	45040000	3.65787	3.07012
chr1	17200000	0.00000	0.00000
chrX	140360000	0.00541	0.02297
chr3	17960000	0.00000	0.00000
chrY	52520000	0.00000	0.00000
chr10	73120000	0.00236	0.03603
chr5	88400000	0.00000	0.00000
chr8	87520000	0.00000	0.00000
chr11	43760000	40.10622	19.49221
chr1	150120000	0.24062	0.11083
chr10	129840000	0.00000	0.00000
chr1	139800000	0.05861	0.00000
chr16	56080000	0.28855	0.00000
chr3	93560000	94.47309	0.00000
chr1	132560000	0.33929	1.15080
chr14	41960000	0.36064	0.00000
chr5	8400000	1.02325	2.50847
chr1	150320000	0.03345	0.00000
chr3	49400000	12.29845	7.43756
chr3	51400000	2.49413	0.00000
chr12	105200000	0.00000	0.00000
chr2	10160000	0.07093	0.01436
chr12	106040000	24.86906	21.02298
chr1	86640000	0.00000	0.00000
chr2	165320000	3.45039	5.64948
chr13	58040000	0.00000	0.00000
chr9	109560000	0.14834	0.00000
chr13	18000000	16.95014	16.65634
chr13	3840000	0.02041	0.00000
chr14	101240000	0.00000	0.00000
chr18	73640000	0.00000	0.00000
chr19	6320000	6.78674	5.10018
chr4	144800000	0.00000	0.00000
chr1	6520000	0.00867	1.60733
chr3	86040000	0.15746	0.01671
chr3	72640000	0.00000	0.00000
chr1	55480000	210.20096	48.98798
chrX	48520000	20.92629	1.79444
chr7	109800000	27.58186	17.49300
chr4	75280000	37.86186	40.56553
chr5	24600000	1441.65707	0.00000
chr9	9000000	0.01407	0.00000
chr3	85960000	0.00000	0.00000
chr12	9680000	0.00000	0.00000
chr2	101920000	8.03354	7.39647
chr19	39520000	0.00000	0.00000
chr9	39400000	0.00000	0.00000
chr7	45520000	5.39848	0.77630
chr14	79320000	0.22382	0.36286
chrX	154600000	0.00000	0.00000
chr4	34440000	0.00000	0.00000
chr7	20600000	0.00000	0.00000
chr2	170440000	1.36566	0.01280
chr5	67680000	0.00000	0.00000
chr10	118320000	0.00000	0.00000
chr8	48880000	3.65288	0.43320
chr7	19920000	0.18340	0.00000
chrY	64880000	0.00000	0.00000
chr11	8400000	29.65824	19.47381
chr1	156960000	2.87022	1.01625
chr3	78040000	0.00000	0.00000
chrY	73320000	0.00000	0.00000
chr2	113960000	371.46226	452.29249
chr11	29640000	91.27884	87.93065
chr13	22720000	0.07494	0.00000
chr12	90840000	0.00000	0.00000
chr13	105080000	0.02564	0.10615
chrY	73640000	0.00000	0.00000
chr16	96080000	0.75318	2.81428
chr5	136000000	3.48728	0.01199
chr15	85040000	12.29587	0.05737
chr7	24120000	6.14329	1.03812
chr13	17240000	0.00000	0.00000
chr16	77520000	0.03571	0.45494
chr1	182560000	0.00000	0.00000
chr6	88440000	0.00000	0.00000
chrY	60680000	0.00000	0.00000
chr5	33400000	0.51946	2.28252
chr10	18040000	59.99454	0.26772
chr2	162920000	1.39350	2.97103
chr19	7520000	11.93887	3.26103
chr8	19560000	0.92000	0.00000
chr1	42760000	0.00000	0.05848
chr4	100080000	0.18313	0.00000
chr4	98800000	1.49364	0.01409
chr4	59560000	16.05433	0.00000
chr10	75880000	535.51673	270.05994
chrGL456221.1	160000	0.14943	0.01057
chr6	41400000	0.02341	0.00000
chr7	35680000	32.05310	28.99368
chr8	42120000	0.27169	0.00000
chr10	95760000	0.02263	0.00000
chr17	13680000	0.00000	0.00000
chr9	99040000	0.08507	0.04128
chr17	69600000	0.00000	0.00000
chr8	22320000	0.02198	0.03111
chr15	38080000	88.19129	0.11663
chr3	51280000	0.09196	0.12690
chr9	30320000	0.34914	0.14825
chr14	54680000	0.60254	0.00000
chr8	46760000	0.06768	0.44564
chr10	59960000	35.62839	75.37652
chr7	19800000	8.43147	0.05052
chr1	179960000	520.61220	330.52204
chr19	38240000	14.98838	7.80670
chr1	5280000	0.00000	0.00000
chr19	11200000	2.83290	0.00000
chr11	45640000	0.00000	0.00000
chr16	95040000	0.00000	0.00000
chr5	111040000	0.12724	1.01868
chr12	22360000	0.02232	0.09476
chr2	35120000	5.41639	0.05916
chr7	143080000	40.78903	15.88934
chr7	19280000	45.31806	0.59484
chrX	149680000	0.00000	0.00000
chr8	69480000	0.43362	0.02833
chr9	20280000	0.00000	0.00000
chrY	37400000	0.00000	0.00000
chr19	16440000	3.25210	0.12191
chr2	65520000	0.00000	0.00000
chr7	46800000	45.57040	16.79788
chr7	99480000	0.00726	0.00000
chr16	97520000	233.59005	0.00000
chr1	135760000	15.24103	12.99962
chr6	4520000	0.05562	0.00000
chr1	39520000	0.00000	0.00000
chr4	34880000	0.00000	0.00000
chr16	4640000	24.84307	19.69368
chr15	83360000	2.97520	8.99752
chr11	5960000	48.91306	28.74244
