gene	chr	coord	expression_breadth
ENSMUSG00000062038	chr5	13120000	23
ENSMUSG00000069620	chr1	13060000	0
ENSMUSG00000095266	chr17	24020000	1
ENSMUSG00000066938	chr17	80360000	19
ENSMUSG00000066990	chr4	97180000	0
ENSMUSG00000091806	chr1	86320000	1
ENSMUSG00000068537	chr6	48940000	0
ENSMUSG00000091498	chr12	110840000	23
ENSMUSG00000069038	chrX	11320000	1
ENSMUSG00000095827	chr3	17220000	0
ENSMUSG00000068810	chr2	88540000	0
ENSMUSG00000095470	chr12	19940000	11
ENSMUSG00000071280	chr10	59600000	22
ENSMUSG00000094881	chrY	2580000	1
ENSMUSG00000095573	chrY	2720000	1
ENSMUSG00000091383	chr13	51200000	23
ENSMUSG00000090460	chr7	127280000	23
ENSMUSG00000095762	chr8	122840000	1
ENSMUSG00000093826	chr7	10640000	23
ENSMUSG00000059459	chr13	21460000	23
ENSMUSG00000064360	chrMT	0	23
ENSMUSG00000067063	chr19	56740000	20
ENSMUSG00000069584	chr10	77700000	3
ENSMUSG00000090533	chr1	183680000	1
ENSMUSG00000091842	chr18	35760000	0
ENSMUSG00000062226	chrX	111160000	0
ENSMUSG00000059695	chr12	96040000	13
ENSMUSG00000090429	chr15	76780000	20
ENSMUSG00000063166	chr13	53520000	14
ENSMUSG00000078128	chr14	26500000	20
ENSMUSG00000094437	chr9	44460000	23
ENSMUSG00000094146	chr10	77700000	5
ENSMUSG00000096421	chr10	77720000	1
ENSMUSG00000095992	chr16	89000000	9
ENSMUSG00000069439	chr15	81840000	7
ENSMUSG00000075485	chr11	105140000	1
ENSMUSG00000062742	chr18	35520000	23
ENSMUSG00000091449	chr18	20680000	23
ENSMUSG00000094728	chrGL456221.1	40000	0
ENSMUSG00000073631	chr1	85100000	11
ENSMUSG00000095450	chrGL456221.1	40000	0
ENSMUSG00000095787	chrGL456211.1	40000	0
ENSMUSG00000096100	chrGL456211.1	60000	0
ENSMUSG00000092233	chr12	54980000	20
ENSMUSG00000091233	chr7	25880000	11
ENSMUSG00000050621	chr9	114980000	23
ENSMUSG00000074501	chr9	18420000	1
ENSMUSG00000079542	chr6	69660000	0
ENSMUSG00000094685	chr7	104940000	23
ENSMUSG00000090549	chr6	117200000	1
ENSMUSG00000096361	chr17	47400000	23
ENSMUSG00000062081	chr14	48060000	23
ENSMUSG00000058607	chr19	30160000	13
ENSMUSG00000072255	chr12	54700000	19
ENSMUSG00000061390	chr9	72160000	23
ENSMUSG00000063611	chr2	28500000	23
ENSMUSG00000094338	chr13	21700000	23
ENSMUSG00000095217	chr13	21740000	23
ENSMUSG00000050799	chr13	23920000	23
ENSMUSG00000063543	chr9	48440000	23
ENSMUSG00000060143	chr14	105680000	23
ENSMUSG00000049124	chr17	26080000	23
ENSMUSG00000073290	chrX	7900000	6
ENSMUSG00000091460	chr9	19920000	23
ENSMUSG00000091109	chr13	96480000	0
ENSMUSG00000060081	chr13	23920000	10
ENSMUSG00000079941	chr13	21500000	1
ENSMUSG00000069274	chr13	23540000	23
ENSMUSG00000094277	chr13	90580000	0
ENSMUSG00000051638	chr3	108940000	13
ENSMUSG00000042874	chr13	32800000	23
ENSMUSG00000071516	chr13	21700000	23
ENSMUSG00000063021	chr13	21740000	22
ENSMUSG00000069309	chr13	21780000	23
ENSMUSG00000085473	chr4	88740000	4
ENSMUSG00000058725	chr11	99600000	1
ENSMUSG00000095262	chr6	128280000	11
ENSMUSG00000044227	chr16	89140000	10
ENSMUSG00000069266	chr13	23740000	23
ENSMUSG00000073789	chr4	101020000	1
ENSMUSG00000096083	chr11	62740000	5
ENSMUSG00000072968	chr17	9420000	14
ENSMUSG00000059352	chr5	122680000	4
ENSMUSG00000078087	chr7	56000000	23
ENSMUSG00000061991	chr13	23520000	23
ENSMUSG00000051851	chrX	53600000	32
ENSMUSG00000058932	chrX	56440000	23
ENSMUSG00000050299	chr16	76400000	23
ENSMUSG00000069306	chr13	21800000	23
ENSMUSG00000056366	chr10	86720000	23
ENSMUSG00000094204	chr9	40660000	1
ENSMUSG00000090538	chr14	106100000	0
ENSMUSG00000069302	chr13	22020000	23
ENSMUSG00000063548	chr15	85500000	3
ENSMUSG00000063816	chrX	46440000	3
ENSMUSG00000050058	chr16	10780000	18
ENSMUSG00000090468	chr5	96160000	20
ENSMUSG00000055416	chr15	31260000	16
ENSMUSG00000095845	chr8	85060000	23
ENSMUSG00000093922	chr17	87920000	0
ENSMUSG00000078289	chr15	85100000	15
ENSMUSG00000060811	chr16	19020000	7
ENSMUSG00000096158	chr6	43200000	0
ENSMUSG00000091396	chr12	62680000	10
ENSMUSG00000048185	chr10	63420000	12
ENSMUSG00000092072	chr3	106020000	22
ENSMUSG00000069305	chr13	21820000	22
ENSMUSG00000078291	chr1	52080000	22
ENSMUSG00000025201	chr2	52600000	23
ENSMUSG00000041512	chr5	116820000	10
ENSMUSG00000053821	chr14	101720000	21
ENSMUSG00000095799	chr12	88240000	0
ENSMUSG00000095717	chr12	88020000	0
ENSMUSG00000096619	chr12	87900000	0
ENSMUSG00000096049	chr12	88000000	0
ENSMUSG00000096803	chr12	88000000	0
ENSMUSG00000063754	chr19	29000000	23
ENSMUSG00000096681	chr14	53200000	23
ENSMUSG00000072714	chr14	11220000	20
ENSMUSG00000096699	chr18	42240000	23
ENSMUSG00000094974	chr14	52900000	23
ENSMUSG00000090801	chr3	139120000	1
ENSMUSG00000073844	chr7	125200000	1
ENSMUSG00000095150	chr18	40720000	0
ENSMUSG00000068226	chr15	78540000	23
ENSMUSG00000068120	chr17	5800000	23
ENSMUSG00000072978	chr1	78960000	23
ENSMUSG00000053820	chr9	114320000	10
ENSMUSG00000055795	chr18	14420000	23
ENSMUSG00000056797	chr8	34320000	13
ENSMUSG00000063689	chr3	96200000	23
ENSMUSG00000057036	chr3	24320000	23
ENSMUSG00000072598	chr14	44000000	1
ENSMUSG00000078193	chr1	156360000	23
ENSMUSG00000066958	chr17	76280000	17
ENSMUSG00000064231	chr7	6000000	0
ENSMUSG00000044434	chr3	34000000	23
ENSMUSG00000074620	chr3	40840000	13
ENSMUSG00000096887	chr6	79800000	1
ENSMUSG00000059775	chr8	107420000	23
ENSMUSG00000057160	chr12	24480000	17
ENSMUSG00000095836	chr3	96400000	22
ENSMUSG00000095330	chr17	57740000	0
ENSMUSG00000069972	chr7	88520000	23
ENSMUSG00000062472	chr17	47040000	7
ENSMUSG00000078380	chr7	34240000	22
ENSMUSG00000057657	chr8	107260000	23
ENSMUSG00000096407	chr12	114400000	3
ENSMUSG00000069268	chr13	23560000	23
ENSMUSG00000074780	chr10	95660000	7
ENSMUSG00000057174	chr16	88920000	9
ENSMUSG00000069300	chr13	22040000	23
ENSMUSG00000091695	chr18	67560000	23
ENSMUSG00000092097	chr18	8680000	23
ENSMUSG00000053588	chr14	55560000	23
ENSMUSG00000092251	chr14	53100000	5
ENSMUSG00000059113	chr16	89140000	1
ENSMUSG00000068067	chr16	89160000	0
ENSMUSG00000070896	chr1	45980000	1
ENSMUSG00000091198	chr15	81480000	23
ENSMUSG00000094864	chrX	123020000	0
ENSMUSG00000095034	chrX	123240000	1
ENSMUSG00000095108	chrX	123700000	1
ENSMUSG00000059912	chr17	55900000	23
ENSMUSG00000078126	chr14	34160000	23
ENSMUSG00000063556	chr14	77240000	23
ENSMUSG00000071532	chr10	14520000	23
ENSMUSG00000091703	chr2	90140000	0
ENSMUSG00000060981	chr13	23520000	32
ENSMUSG00000061615	chr13	23740000	23
ENSMUSG00000091285	chr18	9720000	17
ENSMUSG00000073640	chr18	6320000	23
ENSMUSG00000062704	chr8	88160000	27
ENSMUSG00000062727	chr13	22020000	23
ENSMUSG00000059830	chr9	53880000	23
ENSMUSG00000094248	chr13	21800000	23
ENSMUSG00000074516	chr9	7740000	23
ENSMUSG00000045022	chr13	98980000	13
ENSMUSG00000068706	chr15	5120000	23
ENSMUSG00000094777	chr13	21820000	32
ENSMUSG00000053861	chr18	74060000	17
ENSMUSG00000061242	chr17	45460000	23
ENSMUSG00000061992	chr1	159160000	6
ENSMUSG00000091955	chr7	24860000	22
ENSMUSG00000069301	chr13	22040000	23
ENSMUSG00000074403	chr3	96260000	23
ENSMUSG00000094174	chr12	114400000	8
ENSMUSG00000066983	chr17	70920000	0
ENSMUSG00000078655	chr3	94640000	0
ENSMUSG00000068071	chr16	89140000	1
ENSMUSG00000091441	chr7	141020000	0
ENSMUSG00000062933	chr9	96880000	23
ENSMUSG00000051802	chr16	88880000	9
ENSMUSG00000045506	chr17	63860000	22
ENSMUSG00000047370	chr7	60140000	23
ENSMUSG00000067038	chr19	59320000	23
ENSMUSG00000095413	chrX	11300000	13
ENSMUSG00000060691	chr16	88860000	9
ENSMUSG00000060438	chr3	95620000	23
ENSMUSG00000060019	chr8	106560000	23
ENSMUSG00000095965	chrX	125700000	0
ENSMUSG00000094252	chrX	124620000	1
ENSMUSG00000094147	chrX	125420000	1
ENSMUSG00000094044	chrX	124500000	1
ENSMUSG00000095850	chrX	125000000	1
ENSMUSG00000054351	chr4	88860000	11
ENSMUSG00000094829	chrY	16920000	1
ENSMUSG00000080054	chr1	36940000	23
ENSMUSG00000094999	chrX	123480000	1
ENSMUSG00000094203	chrX	126000000	1
ENSMUSG00000075006	chr2	104060000	9
ENSMUSG00000096375	chr1	21260000	7
ENSMUSG00000068240	chr4	3960000	23
ENSMUSG00000056219	chr10	53460000	22
ENSMUSG00000075031	chr13	23740000	23
ENSMUSG00000090840	chr19	8740000	23
ENSMUSG00000095662	chrX	11300000	9
ENSMUSG00000061065	chrX	9560000	5
ENSMUSG00000091614	chr17	29500000	2
ENSMUSG00000045815	chr1	34560000	15
ENSMUSG00000078481	chr10	10680000	0
ENSMUSG00000073752	chr4	130300000	19
ENSMUSG00000078346	chrX	14200000	5
ENSMUSG00000072381	chr3	101300000	23
ENSMUSG00000096038	chr14	53320000	8
ENSMUSG00000064368	chrMT	0	23
ENSMUSG00000068855	chr3	96220000	23
ENSMUSG00000057855	chr16	89080000	9
ENSMUSG00000091742	chr17	46440000	23
ENSMUSG00000094115	chrX	33220000	1
ENSMUSG00000091732	chr12	4680000	23
ENSMUSG00000060469	chr16	88860000	9
ENSMUSG00000076548	chr6	69280000	14
ENSMUSG00000053873	chr5	113340000	11
ENSMUSG00000063954	chr3	96240000	22
ENSMUSG00000094342	chrX	125880000	1
ENSMUSG00000095192	chrY	30840000	1
ENSMUSG00000094232	chrY	30900000	1
ENSMUSG00000096698	chrY	31260000	1
ENSMUSG00000094444	chrY	31720000	1
ENSMUSG00000095626	chrY	31800000	1
ENSMUSG00000096777	chrY	32140000	1
ENSMUSG00000095968	chrY	32280000	1
ENSMUSG00000096272	chrY	32700000	1
ENSMUSG00000096711	chrY	32760000	1
ENSMUSG00000095553	chrY	33140000	1
ENSMUSG00000094064	chrY	33620000	1
ENSMUSG00000096532	chrY	33700000	1
ENSMUSG00000095725	chrY	40380000	1
ENSMUSG00000095433	chrY	40440000	1
ENSMUSG00000095345	chrY	32220000	1
ENSMUSG00000042293	chr9	48480000	32
ENSMUSG00000073028	chr6	69240000	16
ENSMUSG00000070900	chr4	94540000	23
ENSMUSG00000094319	chr6	69620000	11
ENSMUSG00000091039	chr16	89200000	1
ENSMUSG00000069265	chr13	23760000	22
ENSMUSG00000066592	chr9	59140000	23
ENSMUSG00000094262	chr6	69400000	9
ENSMUSG00000058064	chr18	15820000	23
ENSMUSG00000070343	chr3	146820000	23
ENSMUSG00000060093	chr13	23760000	22
ENSMUSG00000095860	chrY	10540000	1
ENSMUSG00000067292	chr6	149120000	0
ENSMUSG00000095465	chr3	140820000	0
ENSMUSG00000062651	chr2	17980000	14
ENSMUSG00000095879	chrY	18060000	0
ENSMUSG00000094346	chrY	6220000	1
ENSMUSG00000095927	chrY	18640000	0
ENSMUSG00000093883	chrY	13460000	0
ENSMUSG00000095769	chrY	13120000	0
ENSMUSG00000096120	chrY	41400000	0
ENSMUSG00000096533	chrY	40640000	0
ENSMUSG00000094867	chrY	10600000	1
ENSMUSG00000094227	chrY	13940000	0
ENSMUSG00000095602	chrY	7400000	1
ENSMUSG00000094161	chrY	17840000	0
ENSMUSG00000095759	chrY	13220000	0
ENSMUSG00000096885	chrY	40760000	0
ENSMUSG00000095462	chrY	13340000	0
ENSMUSG00000044444	chr13	55400000	24
ENSMUSG00000094618	chr4	88740000	10
ENSMUSG00000096582	chr4	88760000	3
ENSMUSG00000094648	chr4	88800000	7
ENSMUSG00000027564	chr3	17940000	14
ENSMUSG00000068074	chr16	89040000	9
ENSMUSG00000091561	chr18	31820000	17
ENSMUSG00000094350	chrJH584294.1	120000	0
ENSMUSG00000059647	chr1	58640000	19
ENSMUSG00000057886	chr14	73940000	21
ENSMUSG00000094012	chr10	77700000	1
ENSMUSG00000048994	chrX	9840000	15
ENSMUSG00000091361	chr3	78880000	5
ENSMUSG00000055424	chr5	31240000	22
ENSMUSG00000091083	chr7	141400000	23
ENSMUSG00000069117	chr13	97760000	23
ENSMUSG00000070904	chr4	88840000	9
ENSMUSG00000095238	chr1	141240000	0
ENSMUSG00000002664	chr17	57000000	31
ENSMUSG00000068075	chr16	89000000	9
ENSMUSG00000045886	chr10	43520000	23
ENSMUSG00000063328	chr3	130060000	23
ENSMUSG00000095896	chr4	88560000	0
ENSMUSG00000096682	chr4	88820000	9
ENSMUSG00000095498	chr4	88840000	0
ENSMUSG00000095643	chr14	53020000	8
ENSMUSG00000071478	chr13	23560000	23
ENSMUSG00000095029	chr13	120020000	11
ENSMUSG00000095270	chr4	88580000	10
ENSMUSG00000096011	chr4	88540000	0
ENSMUSG00000059632	chr16	89480000	9
ENSMUSG00000027694	chr3	60860000	23
ENSMUSG00000046487	chr18	46460000	31
ENSMUSG00000044424	chr19	23600000	23
ENSMUSG00000059565	chr5	43940000	15
ENSMUSG00000040456	chrX	9840000	17
ENSMUSG00000049233	chr13	107400000	22
ENSMUSG00000064220	chr3	96240000	23
ENSMUSG00000091768	chr13	55120000	0
ENSMUSG00000095234	chr4	42420000	23
ENSMUSG00000094695	chr4	42280000	23
ENSMUSG00000068073	chr16	89060000	1
ENSMUSG00000075567	chr11	99580000	1
ENSMUSG00000058172	chr16	89020000	9
ENSMUSG00000062400	chr16	89040000	9
ENSMUSG00000072324	chr1	51940000	21
ENSMUSG00000050533	chr3	39340000	22
ENSMUSG00000090805	chrGL456233.1	20000	0
ENSMUSG00000050974	chr12	14480000	21
ENSMUSG00000056885	chr7	142260000	1
ENSMUSG00000064063	chr13	67860000	12
ENSMUSG00000090323	chr1	146420000	4
ENSMUSG00000035364	chr5	99960000	23
ENSMUSG00000062588	chr1	4880000	23
ENSMUSG00000047564	chr11	99560000	14
ENSMUSG00000072693	chr5	115080000	32
ENSMUSG00000087666	chr14	53780000	9
ENSMUSG00000095098	chr19	5440000	32
ENSMUSG00000062083	chr19	50020000	8
ENSMUSG00000057262	chr15	52460000	23
ENSMUSG00000082488	chr13	91860000	4
ENSMUSG00000045455	chr10	11600000	23
ENSMUSG00000047002	chr12	11200000	12
ENSMUSG00000056895	chr11	58940000	32
ENSMUSG00000069962	chr8	89180000	17
ENSMUSG00000044034	chr11	120600000	23
ENSMUSG00000069379	chr18	51860000	23
ENSMUSG00000058385	chr13	23560000	23
ENSMUSG00000069267	chr13	23740000	22
ENSMUSG00000056706	chr16	89500000	9
ENSMUSG00000068314	chr11	26580000	16
ENSMUSG00000052673	chr12	69360000	23
ENSMUSG00000059835	chr14	58880000	23
ENSMUSG00000060198	chr13	26480000	23
ENSMUSG00000046995	chr9	98180000	9
ENSMUSG00000047995	chr9	24620000	2
ENSMUSG00000069310	chr13	23740000	22
ENSMUSG00000009047	chr16	88760000	1
ENSMUSG00000069682	chr10	29680000	23
ENSMUSG00000091863	chrX	152560000	1
ENSMUSG00000078130	chr11	99640000	0
ENSMUSG00000061988	chr13	8940000	4
ENSMUSG00000057650	chr16	88860000	9
ENSMUSG00000066724	chr7	23940000	23
ENSMUSG00000090515	chr16	88660000	0
ENSMUSG00000070522	chr3	28760000	23
ENSMUSG00000058368	chr16	89400000	9
ENSMUSG00000095597	chrX	152900000	23
ENSMUSG00000069583	chr10	77720000	12
ENSMUSG00000071151	chr10	82940000	23
ENSMUSG00000091312	chr2	11620000	0
ENSMUSG00000091530	chr17	3520000	23
ENSMUSG00000061974	chr8	47820000	20
ENSMUSG00000057674	chr11	99600000	4
ENSMUSG00000045364	chr4	88880000	7
ENSMUSG00000095320	chrJH584294.1	120000	0
ENSMUSG00000095675	chr4	42240000	23
ENSMUSG00000096596	chr4	42600000	23
ENSMUSG00000096597	chr18	80080000	11
ENSMUSG00000096873	chrJH584293.1	60000	0
ENSMUSG00000091230	chr19	47160000	9
ENSMUSG00000094121	chrGL456350.1	0	0
ENSMUSG00000089731	chr7	142280000	1
ENSMUSG00000094935	chr12	93920000	23
ENSMUSG00000096131	chr10	77780000	3
ENSMUSG00000056815	chrX	68880000	2
ENSMUSG00000059690	chrX	69940000	1
ENSMUSG00000071721	chrX	95720000	5
ENSMUSG00000064357	chrMT	0	1
ENSMUSG00000056089	chr15	25400000	10
ENSMUSG00000064354	chrMT	0	23
ENSMUSG00000095353	chrY	44980000	1
ENSMUSG00000095240	chrX	39860000	1
ENSMUSG00000073679	chr4	155840000	31
ENSMUSG00000074737	chr2	149820000	22
ENSMUSG00000073173	chrX	56520000	0
ENSMUSG00000062456	chr19	32460000	23
ENSMUSG00000078258	chr11	99800000	0
ENSMUSG00000095593	chr10	77760000	1
ENSMUSG00000094120	chr10	77740000	2
ENSMUSG00000096481	chr10	77780000	0
ENSMUSG00000095817	chr10	77760000	1
ENSMUSG00000094215	chr1	31280000	2
ENSMUSG00000079619	chrX	39340000	1
ENSMUSG00000074678	chr2	152620000	20
ENSMUSG00000089634	chr6	85920000	22
ENSMUSG00000057805	chrX	91560000	1
ENSMUSG00000069272	chr13	23560000	23
ENSMUSG00000096645	chrX	31600000	1
ENSMUSG00000091515	chr17	33300000	23
ENSMUSG00000070563	chr7	45720000	25
ENSMUSG00000090455	chr7	142240000	9
ENSMUSG00000094168	chr17	39040000	0
ENSMUSG00000094601	chrX	32640000	1
ENSMUSG00000045842	chr17	40100000	22
ENSMUSG00000095721	chr10	77780000	1
ENSMUSG00000059648	chr14	51040000	1
ENSMUSG00000079039	chr2	131120000	0
ENSMUSG00000066936	chr1	132220000	1
ENSMUSG00000095110	chrX	93140000	2
ENSMUSG00000096153	chrX	93180000	2
ENSMUSG00000094854	chr7	68600000	2
ENSMUSG00000071860	chr18	40240000	17
ENSMUSG00000046119	chr16	90540000	10
ENSMUSG00000087346	chr1	30980000	7
ENSMUSG00000086151	chr1	30960000	2
ENSMUSG00000043050	chr16	10780000	27
ENSMUSG00000017832	chr11	100700000	32
ENSMUSG00000060639	chr13	22040000	32
ENSMUSG00000055072	chr11	79280000	20
ENSMUSG00000092109	chr14	118260000	0
ENSMUSG00000074479	chr3	88560000	23
ENSMUSG00000049427	chr11	53460000	10
ENSMUSG00000061490	chr15	58840000	0
ENSMUSG00000073786	chr7	142200000	7
ENSMUSG00000071726	chrX	92480000	4
ENSMUSG00000069722	chr11	99540000	14
ENSMUSG00000049539	chr13	23760000	19
ENSMUSG00000058773	chr13	21780000	21
ENSMUSG00000091014	chr19	12840000	4
ENSMUSG00000052658	chr9	120560000	32
ENSMUSG00000079479	chrX	102700000	4
ENSMUSG00000048686	chr4	128260000	17
ENSMUSG00000079476	chrX	102900000	16
ENSMUSG00000096380	chr10	77780000	0
ENSMUSG00000072688	chr5	117300000	32
ENSMUSG00000048806	chr4	88520000	9
ENSMUSG00000056350	chr16	88720000	9
ENSMUSG00000075014	chr2	98660000	19
ENSMUSG00000096826	chr4	42640000	23
ENSMUSG00000047733	chr19	6080000	31
ENSMUSG00000073482	chr1	182400000	19
ENSMUSG00000059606	chr14	51160000	17
ENSMUSG00000049809	chr11	99580000	9
ENSMUSG00000027431	chr2	144820000	17
ENSMUSG00000078252	chr11	99980000	16
ENSMUSG00000032889	chr11	28320000	23
ENSMUSG00000078554	chr4	129480000	31
ENSMUSG00000038676	chr5	31120000	22
ENSMUSG00000058443	chr9	50340000	23
ENSMUSG00000046411	chr7	114920000	23
ENSMUSG00000044820	chr9	54940000	31
ENSMUSG00000062619	chr17	46760000	32
ENSMUSG00000067455	chr13	21720000	32
ENSMUSG00000095770	chrX	31960000	1
ENSMUSG00000051456	chr13	113660000	21
ENSMUSG00000064358	chrMT	0	1
ENSMUSG00000066100	chr7	142280000	2
ENSMUSG00000074903	chr7	39580000	23
ENSMUSG00000061104	chr8	95820000	23
ENSMUSG00000090489	chr1	93420000	23
ENSMUSG00000034880	chr8	71460000	32
ENSMUSG00000091970	chr5	125840000	1
ENSMUSG00000060070	chr8	21600000	3
ENSMUSG00000040775	chr17	22000000	5
ENSMUSG00000062611	chr14	88120000	23
ENSMUSG00000079579	chrX	64140000	2
ENSMUSG00000050704	chr16	88700000	9
ENSMUSG00000059751	chr13	108660000	23
ENSMUSG00000068579	chr15	36300000	23
ENSMUSG00000073811	chr4	88600000	0
ENSMUSG00000074837	chr2	150160000	0
ENSMUSG00000078177	chr6	42520000	3
ENSMUSG00000090305	chr14	31060000	22
ENSMUSG00000062758	chr7	131600000	23
ENSMUSG00000070778	chr7	19940000	17
ENSMUSG00000095970	chr10	77680000	1
ENSMUSG00000062874	chr9	69440000	19
ENSMUSG00000074441	chr8	21240000	3
ENSMUSG00000038580	chr7	141260000	30
ENSMUSG00000020295	chr11	32300000	13
ENSMUSG00000071052	chr17	57820000	23
ENSMUSG00000069917	chr11	32280000	23
ENSMUSG00000096591	chr4	88760000	1
ENSMUSG00000048294	chr11	99800000	2
ENSMUSG00000027409	chr2	130400000	25
ENSMUSG00000062278	chr11	99620000	3
ENSMUSG00000090497	chr13	49960000	1
ENSMUSG00000063376	chr4	88640000	0
ENSMUSG00000073063	chr11	32280000	17
ENSMUSG00000060678	chr13	23680000	23
ENSMUSG00000091744	chr18	62660000	7
ENSMUSG00000023257	chrX	16520000	12
ENSMUSG00000031194	chrX	62460000	10
ENSMUSG00000070708	chr2	163080000	19
ENSMUSG00000048484	chr8	4660000	31
ENSMUSG00000060756	chr11	99600000	13
ENSMUSG00000092039	chr18	9900000	0
ENSMUSG00000026182	chr1	73000000	18
ENSMUSG00000069273	chr13	23560000	22
ENSMUSG00000071273	chr17	20560000	20
ENSMUSG00000048573	chrX	153540000	11
ENSMUSG00000047197	chr11	98980000	22
ENSMUSG00000078153	chr11	48940000	22
ENSMUSG00000048544	chr8	33420000	12
ENSMUSG00000073141	chrX	70380000	1
ENSMUSG00000090166	chr14	43920000	20
ENSMUSG00000071815	chrX	9020000	1
ENSMUSG00000078208	chrX	8960000	1
ENSMUSG00000096403	chr6	7980000	23
ENSMUSG00000094687	chr8	21080000	3
ENSMUSG00000038300	chr7	45180000	16
ENSMUSG00000025043	chrX	18140000	10
ENSMUSG00000059280	chr16	17980000	16
ENSMUSG00000072249	chrX	9060000	2
ENSMUSG00000057863	chr17	56600000	23
ENSMUSG00000060685	chrX	8960000	1
ENSMUSG00000047222	chr14	51240000	18
ENSMUSG00000090602	chr9	17020000	10
ENSMUSG00000075053	chr13	18020000	23
ENSMUSG00000078201	chr2	25240000	32
ENSMUSG00000074922	chr19	24460000	32
ENSMUSG00000056718	chr2	5860000	23
ENSMUSG00000055826	chr7	24320000	27
ENSMUSG00000095427	chr14	76220000	23
ENSMUSG00000046354	chr8	19180000	6
ENSMUSG00000078206	chrX	8980000	1
ENSMUSG00000046229	chr2	156300000	32
ENSMUSG00000062365	chr6	127220000	20
ENSMUSG00000096177	chr3	95400000	23
