gene	FPKM
Ecel1	0.0266883
Chrng	0.100486
Pde6d	42.6452
Dis3l2	8.38866
Cops7b	28.3727
Efhd1	0.946962
3110079O15Rik	0
Inpp5d	0.196207
Ngef	2.02805
Neu2	0.0324102
Eif4e2	126.318
Sag	7.92178
Atg16l1	18.7878
Mroh2a	0.968291
Spp2	0
Glrp1	0.050543
Trpm8	0
Ugt1a10	1.48271e-60
Ugt1a9	3.09927e-55
Ugt1a8	7.53634e-60
Ugt1a7c	0.729151
Ugt1a6b	3.51323
Ugt1a6a	3.52426
Ugt1a5	0.0551338
Ugt1a2	7.27829e-58
Ugt1a1	1.77063e-59
Dnajb3	4.56871
Arl4c	9.86614
Gbx2	0.0217761
Asb18	0.0424229
Iqca	0.0693413
Sh3bp4	12.314
Ackr3	10.5017
Gigyf2	37.3226
Kcnj13	0.32314
Agap1	8.7714
Dgkd	23.5907
Usp40	15.0397
Hjurp	83.4601
Prlh	0
Rab17	0.0984189
Mlph	0.691732
Rbm44	0.062499
Ramp1	1.03806
Ptma	995.753
Espnl	0.0413692
Col6a3	9.01493
Klhl30	5.02445
Cops8	166.04
Scly	14.8813
Ube2f	30.1546
Lrrfip1	28.2606
Per2	1.1935
Hes6	18.0098
Traf3ip1	5.51031
Twist2	32.3923
Asb1	7.33423
Olfr1416	0
Olfr1413	0
Olfr1414	0
Olfr1412	0
Olfr1415	0
Olfr1411	0
Olfr12	0
Olfr1410	0
Hdac4	9.9976
Otos	0.175973
Erfe	7.82813
Ilkap	88.0054
Dusp28	3.96744
Cops9	219.263
Aqp12	0
2310007B03Rik	0.0355381
Agxt	0.0302335
Gpr35	0.415651
Crocc2	0.438547
Ndufa10	314.391
Gpc1	22.7591
Ankmy1	6.64929
Capn10	22.6129
Kif1a	0.554646
Rnpepl1	36.5516
Ano7	0.0945067
Pask	8.99332
Ppp1r7	63.8621
Sned1	74.2338
Mterf4	52.3424
Fn1	570.089
Bok	28.9012
Neu4	0
Pdcd1	0.0128331
Gal3st2	0.0167897
Gm9994	0.00880114
Gm6086	0.00703142
Farp2	5.24965
Stk25	109.168
Slco6c1	0
Slco4c1	0.0047136
D2hgdh	19.6034
Dtymk	113.058
Fam174a	15.9744
St8sia4	9.00334
Ing5	13.1575
D1Ertd622e	14.9727
Thap4	44.3596
Atg4b	60.6822
Ppip5k2	14.9883
Gin1	4.40036
Slco6d1	0
Cntnap5b	0.0550241
Cdh20	0
Rnf152	0.696319
Tnfrsf11a	0.361786
Hdlbp	194.68
Phlpp1	5.05232
Bcl2	3.50204
Pign	12.97
Zcchc2	9.90247
Kdsr	11.8153
Serpinb13	0
Serpinb3d	0
2310035C23Rik	10.7964
Serpinb12	0.0312047
Serpinb3a	0.0471834
Serpinb11	0.0877333
Serpinb3b	0
Serpinb3c	0
Serpinb5	0.146474
Serpinb7	0.87388
Serpinb2	0.673145
Cdh19	0.0478043
Cdh7	0.391005
Cntnap5a	0
Gm19965	0
Gm28363	0
Gm28360	0
B020011L13Rik	0
Gm28168	0
Serpinb8	23.6286
Gm7145	0
Gm29106	0
Sept2	77.8014
Sept2	149.482
Vps4b	52.5274
Dsel	15.8467
Pam	92.8264
Pam	0.0300395
Nifk	53.7874
Tsn	122.643
Tfcp2l1	0.171405
Inhbb	2.39712
Gli2	4.3223
Tmem185b	16.611
Sctr	0
Cfap221	0.0509172
Tmem177	3.85806
Ralb	49.5196
Tmem37	30.0661
Ptpn4	2.77585
Epb41l5	7.88506
C1ql2	0
Marco	0
3110009E18Rik	18.5261
En1	9.7432
Steap3	13.2524
Htr5b	1.80425
Dpp10	0.00881809
Ccdc93	9.49701
Insig2	38.4528
Ddx18	57.0213
Dbi	544.317
Acmsd	0
Gpr39	0.320786
Lypd1	1.22859
Clasp1	18.5924
Slc35f5	34.634
Map3k19	0.00642847
Nckap5	1.13569
Mgat5	3.80966
Tmem163	0.130875
Ccnt2	12.4788
Zranb3	6.76853
Rab3gap1	23.7929
Lct	0.105914
Actr3	200.833
Ubxn4	62.2462
R3hdm1	35.786
Cd55b	0
Zp3r	0
C4bp	0
Thsd7b	0
Cxcr4	4.22547
Cd55	0.0570886
Fcamr	0
Pigr	0
Il20	0
Il10	0
Il24	0.0512596
Fcmr	0.449994
Il19	0.0427618
AA986860	1.05991
Dyrk3	2.99806
Dars	73.6999
Gm29427	4.03268e-82
Pfkfb2	5.0815
Yod1	1.30268
Mcm6	110.197
Mapkapk2	53.5013
Ikbke	8.711
Avpr1b	0
Ctse	0
Fam72a	3.22229
Slc26a9	0.0635592
Pm20d1	0.382575
Rab7b	12.4623
Rab29	10.5355
Slc41a1	9.03605
Eif2d	45.0963
Rassf5	0.626848
Slc45a3	1.32101
Srgap2	34.8167
Lemd1	0.667614
Gm10188	0.0427629
Klhdc8a	6.52304
Nuak2	2.55247
Cdk18	8.76095
Nucks1	39.3882
Tmcc2	12.0884
Lrrn2	0.00687553
Tmem81	2.52523
Dstyk	9.53287
Cntn2	0.0413418
Nfasc	0.0140967
Elk4	26.8552
Mfsd4a	11.0152
Rbbp5	30.4482
Pik3c2b	0.812053
Ren1	0
Golt1a	0
Kiss1	0
Gm28040	0
Etnk2	0.447105
Sox13	1.106
Ppp1r15b	17.7922
Plekha6	0.890508
Mdm4	24.2563
Snrpe	367.414
Lax1	0.0526281
Prelp	0.4591
Optc	0.459158
Myog	0
Chit1	0.0321794
Fmod	7.55102
Btg2	13.6425
Chil1	0.319135
Mybph	0.0818263
Adora1	0.0981067
Atp2b4	1.49778
4933406M09Rik	0.01416
Ppfia4	5.09007
Tmem183a	63.9488
Mgat4e	0.0382757
Cyb5r1	119.066
Rabif	21.1867
Klhl12	9.68111
Zc3h11a	77.0345
Gm38394	4.7542
Zbed6	2.63478
Adipor1	68.8352
Ube2t	13.6618
Ptpn7	0.359428
Lgr6	4.73251
Syt2	0.126908
Ppp1r12b	4.30854
Gpr37l1	0.0429169
Elf3	7.84239
Kdm5b	36.9907
Lmod1	0.669108
Arl8a	87.8101
Rnpep	28.2028
Shisa4	24.9251
Timm17a	120.221
Tnni1	2.7297
Igfn1	0.0480356
Pkp1	0.291018
Lad1	6.69278
Phlda3	34.7275
Ascl5	0.727779
Cacna1s	0.027739
Csrp1	89.2194
Tnnt2	10.1516
Mroh3	0.158082
Gpr25	0
Nav1	22.4533
5730559C18Rik	11.2796
Tmem9	92.3812
Ddx59	12.1379
Kif21b	8.42104
Atp6v1g3	0.0131604
Ptprc	0
Nr5a2	0.0669213
Zfp281	13.7402
Kif14	4.78353
Camsap2	12.1421
2310009B15Rik	28.0018
Lhx9	0.574113
Crb1	0.00883286
Ipo9	115.404
F13b	0
Cfhr1	0
Cfhr2	0.0449184
Zbtb41	8.76968
Gm4788	0.01623
Nek7	24.654
Dennd1b	2.39897
Aspm	8.45594
Kcnt2	2.89674
Cdc73	27.2208
B3galt2	0.00488313
Glrx2	54.3813
Trove2	11.5394
Rgs13	0
Rgs18	0.0121248
Rgs21	0.0335994
Rgs1	0
Uchl5	50.2345
Brinp3	10.6504
Pdc	0
Ptgs2	4.05935
Rgs2	100.688
Pla2g4a	29.0913
Cfh	59.8544
Hmcn1	14.0575
Swt1	14.298
Ivns1abp	37.3991
Fam129a	12.3787
Colgalt2	0.0210171
Edem3	9.71043
1700025G04Rik	32.1359
Tsen15	49.3214
Trmt1l	18.2101
Rnf2	55.4868
Rgl1	25.2458
Apobec4	0
Ncf2	0.117067
Nmnat2	1.14103
Arpc5	111.764
Lamc2	12.3763
Smg7	30.6942
Shcbp1l	0.837116
Npl	1.33666
Lamc1	87.6815
Rgs8	1.35058
Rgs16	15.4423
Rgsl1	0.0239437
Rnasel	5.99116
Zfp648	0
Cacna1e	0.0170561
BC003331	26.3141
Prg4	7.63161
Tpr	126.622
Ier5	11.5086
Mr1	2.97965
Teddm2	0.253928
Glul	60.1336
Teddm1b	0.0476952
Teddm1a	0
BC034090	9.29953
Lhx4	0
Stx6	34.9008
Xpr1	7.16957
Acbd6	83.7644
Cep350	4.76184
Qsox1	34.6784
Dhx9	77.8138
Fam163a	0
Tdrd5	0.307472
Nphs2	0
Axdnd1	0.0396201
Gm2000	1.18294
Gm10031	0.0180977
Tor3a	16.3033
Soat1	42.7607
Abl2	13.9719
Tex35	0
Fam20b	34.1375
Brinp2	0.00559404
Sec16b	0.232227
Pappa2	0.132189
Astn1	0.0461725
Rasal2	2.20022
BC026585	9.56277
Tnn	0.0514151
Tnr	0.0157853
4930523C07Rik	8.92555
Tor1aip1	52.0989
Tor1aip2	118.343
Mrps14	75.4451
Rfwd2	123.129
Ralgps2	63.408
Angptl1	3.5877
Cacybp	107.62
Rc3h1	4.24921
Rabgap1l	16.7432
Dars2	16.8404
Ankrd45	0.590226
Serpinc1	0.228713
Zbtb37	3.29669
Cenpl	10.9122
Klhl20	11.4595
Tnfsf4	0.0676068
Fasl	0.0127813
Tnfsf18	1.73699
Suco	34.6006
4930558K02Rik	0
Pigc	26.1772
Dnm3	1.31169
Myoc	0.0236927
7420461P10Rik	0
Mettl13	16.6798
Vamp4	21.9502
Prdx6	324.564
Mroh9	0
Fmo6	0.138998
Fmo3	0.204445
Fmo4	0.055963
Fmo1	1.05878
Fmo2	1.70119
Mettl11b	0.0139639
Gorab	28.1512
Sele	0.00818427
Sell	0
F5	0.0122765
Selp	0.0186309
Mettl18	4.27071
Ccdc181	7.45678
Slc19a2	6.32179
Prrc2c	46.6739
Kifap3	29.6797
Xcl1	0
Dpt	0.466211
Tbx19	0
Scyl3	11.5155
BC055324	18.2877
Sft2d2	14.501
Gpr161	4.82638
Prrx1	215.771
Tiprl	63.5042
Adcy10	0.00909263
Mpc2	56.174
Dcaf6	29.9358
Rcsd1	13.5769
Mael	0.0659884
Gpa33	0.119597
Creg1	27.6654
Dusp27	2.0658
Ildr2	0.300709
Gm4846	0
Gm4847	0
Fmo9	0
Blzf1	13.7324
Atp1b1	98.5665
Nme7	31.709
Fam78b	0.0322729
Mpzl1	79.5586
Tada1	21.5856
Pogk	13.9991
Cd247	0.144347
Pou2f1	3.2945
Lrrc52	0
Lmx1a	0
Rxrg	0
Tmco1	78.4789
Uck2	82.1262
Mgst3	32.642
Aldh9a1	46.9491
Rgs5	0.177158
Ccdc190	0.0580122
Rgs4	5.41336
Nuf2	24.8758
Hsd17b7	19.885
Pbx1	71.487
Sh2d1b2	0
Sh2d1b1	0.00946983
Gm7694	0.256994
Nos1ap	0.873454
Spata46	0
Uap1	41.5976
Olfml2b	21.6048
Fcrlb	0.0819569
Fcrla	0
Fcgr4	0.652027
Fcgr2b	0
Fcgr3	0.170028
Cfap126	3.15863
Uhmk1	16.9833
Atf6	15.3811
Dusp12	25.0529
Gm26620	4.89969
Ddr2	51.0583
Pcp4l1	2.77363
Mpz	0.120347
Apoa2	0
Fcer1g	0.0938218
Sdhc	419.946
Nr1i3	0.007984
Tomm40l	24.5688
Ufc1	89.6538
Nectin4	0.025837
B4galt3	65.484
Ppox	21.1834
Usp21	50.3934
Pfdn2	212.027
Klhdc9	1.84773
Cd48	0
Arhgap30	13.0274
Itln1	0.0236068
Slamf7	0
Alyref2	4.55389
Slamf1	0.573213
Cd84	0.00718038
Cd244	0
Ly9	0
Gm10521	0
Slamf6	0
F11r	20.9273
Nhlh1	0.00980462
Dedd	31.0774
Nit1	45.4042
Vangl2	11.3097
Usf1	87.8848
Tstd1	2.07589
Ndufs2	369.699
Adamts4	25.987
Pex19	92.168
Atp1a4	0
Casq1	0.227692
Kcnj9	0.0214999
Kcnj10	0.0127853
Slamf9	0.0199548
Pigm	4.01308
Vsig8	0
Fcrl6	0
Apcs	0
Crp	0
Slamf8	0.0608748
Dusp23	0.624021
Olfr16	0
Olfr1408	0
Olfr1406	0
Olfr218	0
Olfr1404	0
Cfap45	0.428503
Olfr418	0
Mptx2	0
Fcer1a	0
Ifi214	0
Ifi209	0
Ifi213	0
Ifi206	0.0311841
Igsf9	4.42971
Ifi208	0.0872574
Ifi207	1.25782
Ifi204	7.49295
Ackr1	0
Cadm3	0.0678295
Aim2	11.4889
Tagln2	78.1926
Olfr433	0
Olfr432	0
Olfr429	0
Olfr231	0
Olfr430	0
Olfr427	0
Ifi205	0.400273
Olfr424	0
Mptx1	0
Olfr419	0
Olfr417	0
Olfr420	0.00615456
Igsf8	67.9504
Atp1a2	0.31224
Spta1	0.037857
Olfr248	0
Olfr220	0
Ifi202b	21.1061
Olfr414	0.0769491
Grem2	0.0939075
Fmn2	0.112806
Rgs7	0.206853
Wdr64	0
Gm38100	0.0196713
Opn3	0.987403
Chml	2.31449
Pld5	0.507873
Rbm8a2	0.331772
Exo1	49.3987
Fh1	133.2
Kmo	0.0501639
Ncstn	74.4687
Copa	113.233
Dcaf8	66.8717
Pea15a	91.6364
Mndal	29.3737
Ifi203	32.5679
Ifi211	3.08176
1700016C15Rik	0.156566
Gm16432	0.0635072
Zbtb18	15.0022
Desi2	12.0177
Adss	39.2596
Sdccag8	11.1907
Akt3	22.9726
Cep170	39.6111
Efcab2	3.42515
Kif26b	2.07768
Smyd3	11.394
Cnst	4.5267
Tfb2m	18.9114
Sccpdh	26.2584
Itpkb	0.540512
Stum	0.105027
Gm1305	1.59621e-100
Ahctf1	34.0863
Gm10518	1.91639
Psen2	6.74437
Mixl1	0.0636063
Lin9	12.255
Acbd3	29.8537
Parp1	72.8139
Cox20	33.7952
Hnrnpu	394.793
Cdc42bpa	15.7224
Coq8a	3.13148
Lefty2	0.00976578
Sde2	23.6008
Lefty1	4.4056
9130409I23Rik	0.0523005
Ephx1	12.3568
Pycr2	59.9958
Tmem63a	28.0145
Nvl	25.8576
H3f3a	674.886
Cnih4	101.501
Ccdc121	0.0274272
Cnih3	0.524411
Vmn1r1	0
Dnah14	0.184272
Lbr	31.9895
Wdr26	61.4878
Srp9	71.7381
Degs1	96.2297
Fbxo28	30.2324
Trp53bp2	16.328
Enah	46.1392
Ccdc185	0
Capn8	0.019446
Susd4	2.64891
Tlr5	2.51265
Disp1	20.8433
Capn2	126.095
Mia3	12.8986
Hhipl2	0.168329
Marc1	0
Taf1a	16.6081
Hlx	9.11327
Dusp10	5.61756
1700056E22Rik	1.331
C130074G19Rik	0.587178
Mia3	133.007
Mark1	12.9103
Marc2	70.7604
Bpnt1	27.3325
Brox	26.1269
Aida	97.6055
Slc30a10	0.0433105
Lyplal1	14.1109
Rab3gap2	20.28
Iars2	28.6124
D1Pas1	0
Spata17	0.519495
Tgfb2	14.655
Rrp15	42.303
Ush2a	0.040411
Esrrg	0.477078
Kcnk2	1.41394
Gpatch2	8.51533
Kctd3	25.0377
Cenpf	24.2091
Prox1	0
Ptpn14	6.21983
Eprs	71.6272
Smyd2	70.1461
Spata45	0.825733
Rps6kc1	19.3247
Fam71a	0
Batf3	3.06889
Vash2	10.7515
Atf3	2.47605
Nsl1	8.70512
Mfsd7b	5.57539
Tatdn3	9.63156
Tmem206	9.22242
Nenf	110.312
Angel2	21.1013
Ppp2r5a	55.2297
Dtl	20.3254
Rd3	0.156531
Ints7	28.9487
Slc30a1	2.96686
Traf5	18.8932
Nek2	17.8128
Lpgat1	31.1215
Kcnh1	0.451381
Hhat	15.2239
Rcor3	24.063
Syt14	0.576435
Camk1g	0.0590955
Cd46	0.324914
Lamb3	0.562841
Hsd11b1	0.0349485
G0s2	5.29962
Diexf	16.5548
Cd34	7.23897
H60c	0.0508426
Iyd	0.0843871
Ppp1r14c	1.64659
Cr2	0.772353
Plekhg1	0.107615
Plxna2	5.89731
Sertad4	96.7962
Irf6	0.428722
A130010J15Rik	7.12928
Traf3ip3	0.670542
Cr1l	30.9815
Zbtb2	8.09876
Ccdc170	0.0637942
Mthfd1l	16.0091
Myct1	0
Vip	0
Esr1	0.0271077
Rmnd1	13.8698
Armt1	10.7451
Akap12	16.1393
Mtrf1l	9.58154
Fbxo5	28.5192
Cnksr3	4.09433
Rgs17	3.01435
Lrp11	0.475244
Ulbp1	3.01431
Syne1	3.184
Gm10097	0
Gm10945	0
Oprm1	0
Ipcef1	0
Lats1	8.33902
Zc3h12d	0.0399151
Ginm1	19.3322
Ppil4	10.8936
Samd5	0.245205
Ust	5.13144
Gm10944	0
Sash1	4.28044
Adgb	0.0195137
Pcmt1	54.584
Nup43	32.7806
Grm1	0.0218337
Katna1	24.7668
Rab32	14.7668
Epm2a	0.561738
Tab2	37.623
Fbxo30	11.6582
Stxbp5	5.10546
Shprh	6.0499
Zc2hc1b	0
Stx11	8.74551
Sf3b5	11.0083
Ltv1	15.559
Phactr2	3.41441
Fuca2	14.5421
Plagl1	0.480944
Adgrg6	1.91763
Aig1	18.1689
Hivep2	1.7197
Nmbr	0.307488
Gje1	0.0173489
Pex3	16.8789
Adat2	8.40211
Vta1	48.5801
Txlnb	0.941331
Utrn	11.5555
Heca	11.0476
Cited2	88.0679
Abracl	184.335
Ect2l	0.00930161
Gm4922	0
Ccdc28a	7.51719
Perp	1.59665
Arfgef3	0.0509231
Hebp2	6.08484
Olig3	0.011859
Il22ra2	0
Il20ra	0
Slc35d3	0.0274036
Tnfaip3	6.6374
Nhsl1	4.87506
Pex7	13.2114
Map7	0.131788
Ifngr1	28.0272
Map3k5	4.60286
Reps1	29.1285
Pde7b	0.0151475
Mtfr2	6.52202
Myb	0.125648
Ahi1	2.73416
1700020N01Rik	0
Aldh8a1	0.0323441
4930444G20Rik	0.0141149
Hbs1l	34.2576
E030030I06Rik	1.0128
Tcf21	0
Bclaf1	65.3382
Eya4	1.95518
Slc2a12	0.223739
Tbpl1	25.4311
Raet1e	30.2043
H60b	4.64095
Raet1d	20.3345
Sgk1	70.2544
Vnn3	0.0137817
Taar1	0
Taar2	0
Taar3	0
Taar4	0
Taar6	0
Taar7a	0
Taar5	0.0272953
Taar7b	0
Vnn1	4.17539
Taar7d	0
Taar7e	0
Taar8a	0
Taar7f	0
Taar8b	0
Taar9	0
Taar8c	0
