genomic_coordinate	total_surface_accessibility_score
651900000	18
758000000	15
70800000	2
103200000	1
676900000	5
238700000	1
652800000	2
854500000	15
450600000	4
897100000	3
633100000	3
886700000	10
797300000	7
25100000	2
750900000	5
852700000	2
861300000	10
886500000	22
899000000	8
30200000	10
904400000	2
569600000	3
955600000	12
338900000	5
454800000	8
488900000	2
35000000	12
66800000	31
844600000	11
850900000	4
514600000	1
167100000	3
959300000	37
731800000	5
170300000	17
420700000	19
678900000	5
207300000	1
94400000	5
857200000	25
889500000	52
751000000	12
579300000	1
623300000	18
612100000	41
191100000	3
769500000	20
209600000	1
326600000	4
573800000	7
296900000	1
667300000	8
872600000	1
699300000	38
402600000	2
86700000	11
664800000	6
277800000	6
896900000	1
32700000	1
336000000	2
52200000	10
689400000	3
689300000	4
65700000	19
407300000	3
696800000	12
353400000	4
672500000	3
121900000	8
34300000	6
856600000	2
8400000	4
443600000	3
959700000	1
13700000	6
819300000	2
851200000	17
418200000	9
419900000	3
896000000	1
271100000	10
824000000	23
366500000	1
960700000	27
843800000	5
574500000	6
656600000	15
206100000	22
6800000	8
762800000	1
879500000	1
47700000	1
576800000	1
594400000	17
7100000	23
652100000	1
71200000	12
196500000	7
181000000	5
463200000	1
510600000	11
356300000	8
652900000	9
656800000	8
362000000	9
890000000	11
698100000	38
533900000	3
626200000	14
958500000	6
130900000	1
51900000	37
81600000	1
392800000	1
33500000	25
756400000	12
597200000	1
507800000	12
518800000	8
526500000	13
941900000	7
192600000	4
938700000	5
163900000	28
781000000	2
854100000	4
259400000	3
104600000	30
99200000	8
32400000	26
282000000	4
191200000	12
476800000	49
85300000	9
417300000	43
711300000	1
833400000	1
208800000	6
749400000	4
167800000	4
26300000	7
133800000	13
588900000	1
689100000	12
181400000	22
172100000	3
897900000	2
345900000	13
441600000	16
172200000	6
331000000	5
758300000	4
258600000	5
600600000	3
770400000	11
443900000	25
208600000	1
838400000	24
51200000	2
323300000	14
27200000	3
285900000	17
52100000	7
363300000	21
433800000	1
759200000	21
596900000	12
571000000	1
96500000	1
700000000	4
696400000	4
606300000	13
60200000	9
579400000	6
650000000	1
908000000	14
266400000	1
112100000	1
506200000	5
622300000	7
281500000	2
305800000	16
317800000	26
443700000	25
574300000	2
140800000	24
938600000	7
902000000	11
758900000	14
834300000	42
104800000	28
725900000	19
318100000	14
258800000	18
526400000	4
868300000	14
467900000	8
891300000	19
758700000	15
66000000	2
961400000	37
726100000	6
798600000	7
192500000	3
853800000	4
890100000	32
621500000	3
192200000	19
426700000	6
171300000	12
577900000	3
958700000	19
559000000	6
338600000	5
174200000	12
597300000	37
162500000	2
319600000	5
671000000	26
859500000	2
749500000	10
650500000	11
683600000	31
519200000	3
404500000	6
383900000	8
215000000	2
855800000	1
577000000	1
422300000	2
499200000	1
42400000	16
665200000	10
892600000	2
941500000	7
153200000	2
168800000	11
298100000	11
749800000	1
414300000	36
747100000	18
363900000	6
596500000	7
656000000	2
39100000	1
42900000	19
42500000	3
103500000	8
444400000	1
241300000	4
691500000	16
35900000	30
118400000	4
578300000	22
132300000	11
786300000	3
309100000	1
597000000	34
952000000	15
680800000	13
546800000	1
368500000	16
849500000	27
26900000	6
840400000	5
271200000	16
868100000	16
109600000	12
42800000	8
691000000	1
833500000	20
131900000	24
258500000	4
338700000	18
942900000	1
712400000	15
861200000	8
858100000	4
564500000	3
684000000	11
499800000	44
700600000	10
643800000	8
317500000	3
170900000	7
302700000	2
425000000	8
670700000	12
674100000	9
743700000	9
94600000	9
504100000	4
750800000	5
463300000	4
612600000	12
672300000	2
133400000	11
724000000	24
22800000	4
940600000	1
231400000	1
439500000	26
104000000	29
209800000	13
370400000	7
600400000	11
943300000	25
874300000	22
5800000	15
118300000	26
664400000	5
244100000	6
499500000	3
153500000	6
267800000	14
196700000	9
159900000	4
889700000	11
16000000	3
297000000	11
7200000	20
608400000	8
712700000	13
16700000	10
933200000	7
141900000	2
691300000	19
499600000	28
183000000	8
46400000	1
282600000	10
183800000	3
650200000	3
780300000	12
111500000	2
360400000	22
712800000	4
724200000	16
392600000	1
210500000	4
283200000	15
79700000	25
820000000	1
515200000	11
906400000	1
6300000	36
842700000	5
655200000	26
184400000	10
467500000	16
330000000	15
616200000	1
850300000	4
237500000	1
512300000	4
173600000	8
468300000	1
924300000	3
363000000	8
327700000	8
395300000	18
35300000	13
886000000	16
443300000	20
37700000	31
942700000	2
179200000	6
566300000	4
885900000	23
310900000	1
782500000	2
470200000	16
361600000	12
518600000	19
757300000	16
81800000	7
426900000	16
686800000	5
194000000	25
925500000	4
858200000	5
743400000	18
85500000	23
775400000	2
130300000	3
562700000	19
710400000	5
194300000	29
533800000	28
769400000	5
50500000	20
648300000	1
159400000	9
170400000	4
194100000	18
623200000	9
314100000	2
900100000	3
462600000	2
177700000	5
836000000	1
594600000	2
304700000	5
588800000	1
735300000	7
29600000	3
826900000	1
862100000	5
211500000	5
368300000	24
885700000	37
286300000	19
192100000	15
593600000	3
295800000	5
909200000	24
563100000	17
439200000	9
926800000	9
653300000	13
301700000	13
911900000	17
4500000	8
647600000	11
943600000	2
889400000	13
188600000	3
698700000	7
698300000	6
613500000	1
954500000	1
95800000	24
869400000	25
486000000	4
907600000	4
121600000	11
419800000	20
42700000	12
959000000	19
697000000	4
130500000	22
288900000	11
518200000	12
757000000	24
836900000	4
122300000	1
168300000	2
6200000	8
768000000	18
242200000	3
688500000	8
166100000	1
613100000	26
648500000	4
607000000	1
625600000	1
840700000	45
151900000	4
891400000	5
302000000	16
51300000	1
361800000	1
4600000	11
1100000	2
395800000	1
711900000	2
941000000	13
276200000	7
158600000	30
758100000	1
466600000	16
25900000	9
594200000	5
856200000	14
709900000	18
5600000	10
697600000	3
892800000	35
909100000	2
282400000	18
427300000	11
320000000	2
440500000	4
596000000	5
724500000	15
886600000	35
752300000	38
123000000	2
820400000	22
138700000	21
122900000	21
439400000	7
955500000	7
438400000	30
235700000	2
171200000	4
266300000	1
707700000	6
62600000	1
101400000	21
98800000	1
690500000	1
688200000	1
189700000	1
240700000	2
209900000	17
792600000	1
649500000	6
544300000	6
20800000	25
906800000	3
635500000	3
28500000	21
549200000	1
83200000	12
855500000	1
365700000	1
586100000	1
743500000	1
742300000	35
234900000	26
724900000	7
785200000	2
651700000	26
627600000	4
382300000	10
397400000	9
312900000	11
122200000	9
121700000	12
647800000	5
282500000	6
79800000	16
510700000	3
941800000	6
73800000	14
264400000	20
824500000	12
463100000	2
427400000	1
330800000	4
79500000	3
330700000	29
352100000	2
532700000	7
129800000	3
360300000	6
911400000	14
931300000	2
399700000	1
667000000	25
223500000	1
519100000	1
507500000	7
649200000	5
723600000	5
244200000	15
758200000	5
574700000	1
508700000	4
956400000	14
666800000	14
235800000	4
207200000	2
701600000	13
577700000	10
196400000	1
689200000	23
682400000	8
893700000	1
586600000	18
417500000	2
648000000	8
386600000	1
82000000	14
854600000	9
907100000	5
510300000	24
339700000	2
768500000	6
576200000	2
738400000	3
199100000	20
442800000	4
562900000	4
854400000	20
240100000	11
6600000	2
443800000	33
635200000	7
518400000	7
856300000	36
869900000	4
16800000	8
952400000	6
492200000	28
715900000	2
165900000	1
955400000	16
615100000	1
82400000	14
683100000	7
112300000	3
839200000	1
204900000	11
35700000	7
234100000	3
653000000	3
561400000	9
235300000	2
302100000	2
891200000	22
362500000	23
587100000	12
336300000	2
708700000	4
768400000	14
702000000	23
29800000	4
536200000	11
2300000	3
797200000	5
416700000	4
510100000	2
5300000	19
463400000	5
20700000	17
347000000	7
169500000	3
533000000	6
417700000	12
358600000	10
861900000	13
190800000	2
886400000	7
653200000	37
360500000	13
800200000	1
417100000	24
394900000	8
309300000	4
751400000	1
432300000	7
834500000	15
131700000	11
427600000	1
426400000	3
697900000	14
363200000	9
279400000	3
43400000	4
441500000	4
429400000	10
197500000	3
711400000	7
586300000	13
702300000	1
185500000	9
739800000	10
440400000	6
120000000	4
330400000	18
117800000	1
416200000	2
207500000	8
943000000	22
580300000	1
52800000	34
16200000	1
270900000	6
798500000	18
577400000	8
949800000	1
886200000	15
168100000	3
405900000	1
282800000	3
169000000	3
697800000	7
873900000	24
199500000	4
925800000	7
192700000	1
621700000	1
168700000	1
596700000	26
88100000	14
700200000	25
700000	5
666900000	8
770600000	7
451000000	10
767800000	4
742000000	1
590500000	4
516500000	7
428100000	2
507600000	2
24400000	2
419500000	20
740600000	5
587300000	20
897700000	2
726900000	16
709600000	4
441800000	16
355900000	3
306700000	2
679000000	2
959400000	10
729000000	6
772200000	1
933300000	22
677600000	7
672600000	1
241900000	1
958000000	1
335900000	3
861800000	23
196300000	21
60300000	43
362900000	14
406200000	12
580400000	30
547900000	1
528700000	1
656300000	12
434400000	5
598000000	1
782800000	22
231900000	1
711200000	1
439800000	21
574400000	2
667200000	70
362800000	13
687300000	9
166500000	13
780600000	27
961100000	1
178900000	22
624300000	10
896800000	19
757500000	24
453000000	5
29900000	2
306200000	1
834800000	15
199300000	37
869500000	15
507100000	6
397200000	2
613200000	2
177400000	19
951900000	5
648100000	1
269400000	2
779200000	10
94100000	4
304900000	2
491200000	2
834900000	23
668900000	17
892700000	8
868500000	5
886100000	14
755000000	1
875400000	8
939600000	9
724800000	3
508100000	20
955100000	1
674000000	5
727300000	21
369200000	6
782400000	3
320100000	4
655300000	1
907900000	35
53100000	4
897500000	18
699000000	32
167600000	2
586500000	7
426800000	28
578900000	12
328000000	1
709200000	18
749600000	17
703300000	1
253700000	1
885000000	5
575800000	36
102300000	4
490100000	1
619300000	1
723800000	7
308900000	3
426600000	2
102900000	31
348100000	2
822000000	1
140500000	16
741100000	20
259200000	2
185300000	41
692000000	21
843300000	2
869700000	16
765400000	4
898000000	10
762600000	2
220000000	1
101500000	13
780500000	26
696600000	7
320300000	23
557300000	20
895500000	3
944800000	9
58200000	5
468000000	18
39000000	1
353900000	11
168000000	5
106300000	39
338100000	5
36100000	32
59600000	14
778800000	18
588200000	10
781200000	11
700100000	8
664900000	1
420600000	10
118000000	3
356000000	6
746800000	6
416600000	13
71300000	18
239500000	2
873800000	7
647500000	16
413200000	3
73100000	11
655100000	11
884900000	10
767400000	19
868200000	9
195800000	4
626600000	1
273300000	2
890600000	27
424900000	6
612000000	11
397300000	1
338500000	11
367300000	20
941600000	15
52900000	13
296100000	6
857400000	3
822900000	12
636600000	3
34900000	7
183900000	3
575500000	15
468800000	1
885200000	27
322200000	4
820500000	14
131200000	1
549600000	1
253300000	2
596800000	5
14500000	4
883200000	2
743600000	10
701900000	2
353800000	4
333300000	6
76000000	14
362200000	17
868400000	25
396100000	2
191300000	15
666100000	3
339200000	6
81000000	12
177200000	13
332500000	16
189000000	5
836200000	29
693500000	6
37300000	33
635400000	20
172500000	7
356100000	2
329800000	12
627400000	4
626500000	5
53000000	5
20900000	3
847300000	4
215500000	1
332200000	2
578400000	14
709300000	5
327400000	37
164500000	15
822600000	3
450500000	3
492000000	7
122600000	1
534000000	1
770200000	2
725700000	9
819800000	12
167900000	3
58400000	11
863600000	6
688300000	11
806600000	3
574200000	17
197000000	7
464200000	13
532300000	12
243900000	4
545100000	9
579200000	10
423400000	3
361100000	1
806400000	5
780800000	11
73900000	19
909300000	9
479400000	1
104400000	2
611900000	24
51700000	12
852400000	2
73300000	2
770500000	27
673000000	1
59300000	1
561500000	3
422500000	10
645900000	1
727700000	5
366900000	20
164100000	24
420500000	2
467700000	3
140600000	24
586700000	21
851100000	5
17000000	20
857700000	1
783100000	11
303300000	21
456600000	4
498800000	1
627700000	1
892900000	24
416800000	23
432400000	5
34800000	11
93800000	2
836400000	2
196200000	8
140400000	11
116200000	15
693700000	3
158400000	9
735600000	9
727200000	6
86600000	5
734900000	6
839000000	18
462500000	2
854700000	11
35800000	31
361500000	3
851400000	21
158900000	3
166900000	8
507200000	14
656100000	5
369000000	2
181200000	13
418400000	13
430800000	9
67200000	1
647900000	18
819200000	15
311000000	39
418800000	2
123500000	1
658500000	4
639100000	8
762900000	3
182900000	13
444000000	10
441400000	8
647700000	27
885600000	31
483300000	2
606800000	1
454200000	5
314700000	21
853900000	34
430000000	3
689700000	19
314600000	12
93900000	2
259000000	33
411700000	5
510500000	2
121500000	14
743300000	30
901200000	3
327300000	7
817800000	13
414000000	3
608200000	1
418600000	7
329900000	22
733500000	1
836100000	27
602400000	7
508000000	1
925600000	14
362600000	27
912300000	5
958300000	7
610200000	3
29200000	6
94200000	2
907200000	8
272200000	5
336200000	3
738300000	3
361400000	13
507300000	33
94700000	11
869000000	2
408100000	5
565100000	1
167300000	1
885500000	7
726400000	18
451100000	2
306100000	3
332800000	8
927500000	1
420100000	2
164400000	35
728600000	4
581000000	3
329000000	4
889900000	2
815300000	8
724600000	5
105000000	1
366300000	4
509700000	31
595800000	21
690200000	2
4300000	8
477200000	9
881900000	1
867000000	4
132000000	28
205300000	1
233500000	8
654200000	2
29500000	2
893800000	2
637000000	14
743200000	11
782900000	3
240300000	7
673600000	4
715600000	1
122400000	3
467400000	19
847600000	3
353600000	1
118500000	1
580100000	1
854900000	1
506300000	1
463800000	10
767500000	25
367700000	25
489000000	14
104900000	21
122700000	1
210600000	25
491400000	13
688600000	21
192300000	4
956200000	10
903600000	12
4200000	20
335200000	13
365900000	1
119300000	7
21800000	1
729400000	3
531600000	23
507400000	6
294600000	5
755100000	1
234000000	16
869600000	25
775300000	7
103300000	23
758800000	24
85600000	2
691900000	6
444100000	33
691100000	1
338200000	3
500300000	7
911700000	7
851600000	3
252900000	22
444500000	6
747000000	4
118200000	10
301400000	16
132100000	23
120400000	3
527100000	8
427100000	6
652400000	1
330300000	34
958600000	29
253000000	21
426300000	5
407600000	1
624200000	12
192800000	20
95600000	20
760200000	26
446000000	5
627300000	9
714300000	11
167000000	11
384000000	10
382500000	9
925700000	1
875800000	1
60000000	1
887800000	9
271900000	40
510000000	21
258900000	8
596600000	18
611000000	19
752000000	6
197300000	5
653100000	14
205200000	1
698800000	5
175500000	1
413400000	1
791800000	8
242000000	5
544600000	2
658400000	6
188800000	6
312700000	4
853500000	6
842400000	3
418000000	1
270700000	2
741200000	11
907300000	11
627500000	9
34700000	2
670300000	1
775200000	2
514900000	5
910700000	1
531900000	2
432000000	2
131100000	10
601300000	23
75100000	1
910500000	1
930500000	6
171500000	1
757400000	4
759300000	5
590400000	9
333800000	8
442400000	18
506500000	6
856700000	3
219800000	11
678600000	1
442700000	1
506100000	1
765100000	15
167500000	13
332400000	20
874800000	5
867300000	19
330500000	29
427000000	16
84000000	1
612300000	45
855700000	16
564800000	4
244300000	14
578800000	4
197100000	14
847200000	3
414200000	31
739500000	1
416400000	11
611400000	23
433400000	1
856500000	36
122500000	16
131600000	11
35600000	1
427200000	12
439600000	6
5200000	33
455000000	15
510900000	2
461000000	3
778400000	28
34500000	1
3100000	1
57700000	1
769100000	2
734800000	12
313100000	1
103800000	22
897600000	10
626000000	9
233600000	7
651500000	13
331300000	59
699500000	10
95400000	17
680500000	13
200500000	5
377600000	6
60100000	1
172000000	10
778700000	12
468700000	2
219400000	1
164000000	3
124100000	26
419600000	7
26200000	14
955000000	9
121100000	6
899700000	4
6900000	12
154600000	1
328300000	5
464000000	10
726300000	3
945000000	6
434300000	12
838100000	3
355400000	2
668700000	3
36000000	22
840500000	3
838300000	19
666700000	13
532600000	1
261000000	1
595700000	5
652200000	26
80800000	13
186200000	7
277000000	9
775100000	1
426500000	26
170700000	15
939700000	10
431400000	5
925400000	17
790400000	1
709400000	17
842300000	6
647400000	13
59200000	12
575700000	14
687100000	4
337400000	5
266200000	26
503400000	1
612500000	5
94800000	2
419000000	1
760000000	8
95300000	6
52500000	24
342400000	1
81900000	3
683700000	9
526300000	4
509900000	8
277600000	10
273500000	2
161300000	2
113300000	2
162600000	1
310700000	10
595600000	16
200700000	4
16500000	5
439300000	18
699900000	4
423000000	8
931600000	3
221000000	8
450900000	2
301800000	19
168900000	1
574900000	1
576900000	13
124000000	3
862000000	18
767900000	18
563000000	44
690000000	15
98900000	10
470000000	1
418700000	20
182700000	2
922800000	15
