geneId	geneName	start	end	strand	chr
ENSMUSG00000035783	Acta2	34241090	34255336	-1	19
ENSMUSG00000024875	Yif1a	5088538	5092879	1	19
ENSMUSG00000084732	Gm25807	129172573	129172877	-1	10
ENSMUSG00000106653	Mir299a	109710638	109710700	1	12
ENSMUSG00000093734	Gm25082	51270435	51270689	1	11
ENSMUSG00000095850	Gm17361	125004163	125004660	1	X
ENSMUSG00000091312	Gm17490	11625606	11626264	-1	2
ENSMUSG00000105037	Gm25203	102253472	102253687	-1	12
ENSMUSG00000099074	Gm27564	58749589	58749684	-1	16
ENSMUSG00000104589	Gm44311	42442852	42442920	1	9
ENSMUSG00000078349	AW011738	156203304	156205151	1	4
ENSMUSG00000098690	Gm27316	139312424	139312700	1	5
ENSMUSG00000084668	Gm24633	19513855	19513919	-1	1
ENSMUSG00000068604	Gm8225	26542760	26543715	1	17
ENSMUSG00000091297	Gm8439	120588745	120609673	1	4
ENSMUSG00000098898	Gm27754	26356732	26356857	-1	10
ENSMUSG00000065362	Gm24411	158356424	158356554	-1	2
ENSMUSG00000089612	Gm22708	181425935	181426037	-1	2
ENSMUSG00000094265	n-R5s109	123554060	123554178	-1	8
ENSMUSG00000001473	Tubb6	67390717	67402748	1	18
ENSMUSG00000084419	Gm22275	53701179	53701488	1	11
ENSMUSG00000024902	Mrpl11	4962306	4966995	1	19
ENSMUSG00000106017	Gm44322	109728108	109728222	-1	12
ENSMUSG00000076141	Mir693	46231531	46231619	1	17
ENSMUSG00000080461	Gm22488	58146616	58146742	1	15
ENSMUSG00000095366	Gm21860	90754513	90754821	-1	Y
ENSMUSG00000084703	Gm22985	88526679	88526794	-1	9
ENSMUSG00000088372	Gm22881	135148648	135148781	1	6
ENSMUSG00000093476	Gm22355	167644364	167644459	-1	2
ENSMUSG00000093010	Gm22460	3957119	3957242	-1	13
ENSMUSG00000096431	Gm22131	59681055	59681148	-1	7
ENSMUSG00000088835	Gm23547	124715232	124715502	1	6
ENSMUSG00000095450	AC132444.4	46295	46666	-1	GL456221.1
ENSMUSG00000096759	Snord116l2	59876933	59877026	-1	7
ENSMUSG00000064620	Gm22303	16939994	16940115	1	12
ENSMUSG00000088241	Gm22916	124095450	124095568	1	6
ENSMUSG00000096675	Gm24519	76604319	76604450	-1	13
ENSMUSG00000098565	Gm27760	5864306	5864419	1	15
ENSMUSG00000089438	Gm23194	69240599	69240703	1	11
ENSMUSG00000069890	1700024J04Rik	49586641	49588462	-1	11
ENSMUSG00000056468	5730596B20Rik	52177498	52180851	1	6
ENSMUSG00000099302	Gm27421	73827665	73827831	-1	2
ENSMUSG00000084511	Gm22481	22595029	22595220	1	16
ENSMUSG00000077415	Gm23748	82247848	82247978	1	9
ENSMUSG00000077617	Gm25501	127005369	127005500	1	3
ENSMUSG00000098460	Mir6970	34845101	34845167	-1	17
ENSMUSG00000077021	Mir467d	10507630	10507714	1	2
ENSMUSG00000088369	Gm23501	163069614	163069869	-1	X
ENSMUSG00000024553	Galr1	82392496	82406777	-1	18
ENSMUSG00000088677	Gm22804	94487883	94487983	1	4
ENSMUSG00000092880	Mir3471-1	10845500	10845630	-1	4
ENSMUSG00000094522	Gm22912	59612005	59612083	-1	7
ENSMUSG00000087760	Gm23980	23646420	23646577	-1	15
ENSMUSG00000088773	Gm26041	76788422	76788529	-1	X
ENSMUSG00000025203	Scd2	44293676	44306864	1	19
ENSMUSG00000093368	Gm22800	118248689	118248782	-1	2
ENSMUSG00000089432	Mir1966	105615466	105615573	1	8
ENSMUSG00000087947	Gm24249	88087188	88087251	-1	7
ENSMUSG00000093358	Mir3063	95963292	95963383	-1	11
ENSMUSG00000024999	Noc3l	38788128	38819237	-1	19
ENSMUSG00000096343	n-R5s133	123594754	123594872	-1	8
ENSMUSG00000024887	Asah2	31984654	32061469	-1	19
ENSMUSG00000077667	Gm26147	118832565	118832678	1	7
ENSMUSG00000092948	Gm23393	116394342	116394413	-1	1
ENSMUSG00000098317	Mir6926	74868127	74868194	-1	11
ENSMUSG00000074877	Gm10780	70689092	70689380	1	3
ENSMUSG00000077192	Snora17	26639190	26639321	-1	2
ENSMUSG00000042041	2010003K11Rik	4496790	4498583	-1	19
ENSMUSG00000075837	Gm22005	3291378	3291518	-1	2
ENSMUSG00000088766	Gm24394	36612117	36612239	1	14
ENSMUSG00000099091	Mir7003	163068090	163068155	1	2
ENSMUSG00000106307	Gm23370	127331812	127331941	1	1
ENSMUSG00000099219	Gm27680	111330473	111330632	-1	5
ENSMUSG00000088121	Gm25721	103658237	103658407	1	5
ENSMUSG00000088860	Mir1947	33105361	33105445	1	16
ENSMUSG00000065283	Gm24454	79893584	79893715	-1	11
ENSMUSG00000095453	n-R5s149	123621928	123622046	-1	8
ENSMUSG00000047656	Trpt1	6996131	6999044	1	19
ENSMUSG00000044857	Lemd2	27189601	27204438	-1	17
ENSMUSG00000024740	Ddb1	10605625	10629813	1	19
ENSMUSG00000064829	Gm22879	26912218	26912291	1	2
ENSMUSG00000092814	Gm23638	18129452	18129577	-1	2
ENSMUSG00000077387	Gm22656	25510865	25511035	1	5
ENSMUSG00000065648	Gm25895	153915116	153915215	-1	X
ENSMUSG00000094807	Gm24975	183074606	183074706	1	1
ENSMUSG00000092852	Mir5103	34433121	34433199	-1	1
ENSMUSG00000064591	Gm22302	37824242	37824347	-1	7
ENSMUSG00000079794	AC125149.2	135395	136519	-1	GL456210.1
ENSMUSG00000093124	Gm24366	122471627	122471712	-1	8
ENSMUSG00000092903	Gm27896	57565793	57566109	1	6
ENSMUSG00000065894	n-R5s46	36855929	36856044	-1	14
ENSMUSG00000088004	Gm24786	9829620	9829728	-1	3
ENSMUSG00000079264	Gm11077	140729284	140756053	1	6
ENSMUSG00000025171	Ubtd1	41981763	42034641	1	19
ENSMUSG00000093883	Gm21866	13465037	13465579	-1	Y
ENSMUSG00000074108	Rpl10-ps2	106927769	106928413	-1	8
ENSMUSG00000098258	Mir6369	58313044	58313149	-1	13
ENSMUSG00000089082	Gm24860	111244592	111244867	-1	9
ENSMUSG00000077757	Gm23532	52959351	52959462	-1	5
ENSMUSG00000106597	Mir7021	143136100	143136162	-1	4
ENSMUSG00000065527	Mir93	138165523	138165610	-1	5
ENSMUSG00000087739	Gm24644	104040669	104040807	1	2
ENSMUSG00000064928	Gm22045	96671793	96671900	1	15
ENSMUSG00000084465	n-R5s47	62869714	62869832	1	14
ENSMUSG00000095491	Gm24088	59410933	59411011	-1	7
ENSMUSG00000065616	Mir375	74900658	74900721	-1	1
ENSMUSG00000087883	Gm23602	100252917	100253048	-1	1
ENSMUSG00000084480	n-R5s155	90293734	90293846	1	7
ENSMUSG00000084547	Gm24936	99575891	99576137	1	6
ENSMUSG00000095284	Gm22550	54118995	54119101	1	X
ENSMUSG00000088979	Gm23758	52276531	52276620	1	14
ENSMUSG00000077217	Gm23951	83366870	83367001	-1	11
ENSMUSG00000077263	Gm24432	34093445	34093570	1	18
ENSMUSG00000106611	Gm22048	81735927	81736015	1	5
ENSMUSG00000064630	Gm25143	103959543	103959651	1	10
ENSMUSG00000064714	n-R5s62	82150468	82150563	1	12
ENSMUSG00000095467	Gm22243	115411234	115411353	-1	9
ENSMUSG00000099176	Mir6238	53891761	53891889	-1	7
ENSMUSG00000089514	Gm26291	54651936	54652072	1	17
ENSMUSG00000089318	Gm23179	142381988	142382291	1	2
ENSMUSG00000089014	Gm25520	75101409	75101526	1	X
ENSMUSG00000049670	Morn4	42074939	42086370	-1	19
ENSMUSG00000024987	Cyp26a1	37697808	37701528	1	19
ENSMUSG00000024552	Slc14a2	78146940	78209094	-1	18
ENSMUSG00000095205	Snord93	23852210	23852280	1	5
ENSMUSG00000098766	Mir6386	92267258	92267361	-1	9
ENSMUSG00000088840	Gm26358	116466619	116466715	1	3
ENSMUSG00000104757	Gm44391	67629014	67629106	-1	8
ENSMUSG00000077562	Gm23203	59569559	59569665	-1	17
ENSMUSG00000084475	Gm25782	8449498	8449786	-1	16
ENSMUSG00000088192	Gm23904	86233854	86233977	1	8
ENSMUSG00000098878	Gm27964	53493763	53493824	1	8
ENSMUSG00000098946	Gm27636	105123062	105123183	-1	2
ENSMUSG00000092928	Gm24563	48048703	48048795	1	6
ENSMUSG00000088961	Gm22089	93808570	93808671	-1	1
ENSMUSG00000088207	Gm23756	4347647	4347760	1	12
ENSMUSG00000087850	Gm22792	144803500	144803632	-1	6
ENSMUSG00000077726	Gm22900	124501574	124501703	1	3
ENSMUSG00000098536	Gm27868	52162010	52162111	1	6
ENSMUSG00000092981	Mir5125	23823291	23823369	1	17
ENSMUSG00000098327	Mir7087	45939521	45939590	-1	9
ENSMUSG00000098942	Mir8100	46102270	46102390	1	11
ENSMUSG00000105814	Mir703	98475556	98475664	-1	5
ENSMUSG00000089174	Gm22434	163118227	163118348	1	1
ENSMUSG00000094109	Gm22776	59764088	59764181	-1	7
ENSMUSG00000065158	Gm25483	12589565	12589791	1	13
ENSMUSG00000095924	Gm24040	59557727	59557805	-1	7
ENSMUSG00000088680	Gm23997	7259941	7260061	1	19
ENSMUSG00000065061	Gm22884	55482694	55482833	1	11
ENSMUSG00000025036	Sfxn2	46573365	46596898	1	19
ENSMUSG00000104863	Gm49347	35557132	35557242	1	18
ENSMUSG00000077673	Gm24471	99692399	99692529	-1	13
ENSMUSG00000064507	n-R5s94	5332995	5333113	-1	8
ENSMUSG00000092907	Mir5132	74023528	74023598	-1	X
ENSMUSG00000096492	Mir467a-4	10486135	10486217	1	2
ENSMUSG00000077022	Gm22707	43204352	43204461	1	7
ENSMUSG00000048720	Tbc1d12	38836579	38919923	1	19
ENSMUSG00000096305	Gm23047	59733770	59733863	-1	7
ENSMUSG00000093273	Mir3064	106782693	106782759	-1	11
ENSMUSG00000065481	Mir346	34894609	34894706	1	14
ENSMUSG00000080684	Gm23988	10501633	10501754	1	2
ENSMUSG00000099147	Mir7081	20914090	20914164	-1	9
ENSMUSG00000084460	Gm22957	97117414	97117536	1	2
ENSMUSG00000098745	Gm27825	82504596	82504655	1	15
ENSMUSG00000084451	Gm24594	60928086	60928184	1	13
ENSMUSG00000065457	Mir383	38252133	38252202	-1	8
ENSMUSG00000095041	AC149090.1	52190	59690	-1	JH584304.1
ENSMUSG00000088839	Gm27510	101005896	101005959	1	X
ENSMUSG00000094717	Gm22821	109295542	109295648	-1	9
ENSMUSG00000098518	Gm27668	47603889	47604008	1	4
ENSMUSG00000065246	Gm22297	70996539	70996644	-1	11
ENSMUSG00000088361	Gm23499	13374481	13374748	1	7
ENSMUSG00000098267	Mir7060	127489251	127489387	1	7
ENSMUSG00000080668	Gm24999	60293672	60293772	1	13
ENSMUSG00000064452	Gm24564	109631074	109631148	1	12
ENSMUSG00000089127	Gm26401	7229775	7229850	1	X
ENSMUSG00000089050	Gm23353	27452289	27452360	1	10
ENSMUSG00000105488	Gm44396	35308891	35309004	1	12
ENSMUSG00000098722	Gm27331	82407094	82407153	-1	15
ENSMUSG00000025212	Sfxn3	45047576	45056383	1	19
ENSMUSG00000084548	n-R5s175	119297245	119297361	1	5
ENSMUSG00000093900	Mir669p-2	10496497	10496583	1	2
ENSMUSG00000104627	Mir3535	86351981	86352127	-1	1
ENSMUSG00000098886	Mir6385	58221150	58221254	1	9
ENSMUSG00000077107	Mir344c	61837311	61837402	-1	7
ENSMUSG00000077306	Gm22469	37224869	37225001	1	14
ENSMUSG00000093937	Gm25528	87888456	87888587	-1	9
ENSMUSG00000087987	Gm22221	127284731	127284833	-1	4
ENSMUSG00000096604	Gm26201	59801956	59802049	-1	7
ENSMUSG00000098943	Rnu3b1	87443237	87443452	1	11
ENSMUSG00000076287	Gm24273	131498639	131498802	-1	1
ENSMUSG00000098686	Mir6973b	131040319	131040398	-1	2
ENSMUSG00000077270	Gm22782	65566090	65566221	1	12
ENSMUSG00000106605	Gm44365	23101972	23102096	-1	8
ENSMUSG00000089461	Gm23698	110796173	110796300	1	10
ENSMUSG00000092715	Gm22853	35605674	35605804	-1	19
ENSMUSG00000077537	Gm22544	76021929	76022055	-1	8
ENSMUSG00000089531	Gm25162	62668612	62668770	1	14
ENSMUSG00000095631	n-R5s86	74059339	74059457	1	9
ENSMUSG00000092641	Gm23563	102458724	102458974	-1	11
ENSMUSG00000077050	Gm24544	73146849	73146958	1	3
ENSMUSG00000087813	Gm22490	21117083	21117201	-1	5
ENSMUSG00000099062	Mir7077	117453023	117453079	1	8
ENSMUSG00000089190	Gm25771	122553173	122553316	1	1
ENSMUSG00000064595	Gm22300	56913642	56913767	1	4
ENSMUSG00000091007	D630036H23Rik	36381242	36382181	-1	12
ENSMUSG00000093009	Snord52	34950952	34951017	-1	17
ENSMUSG00000098658	Mir6338	72388756	72388864	1	11
ENSMUSG00000065126	Snord104	106500993	106501062	1	11
ENSMUSG00000092794	Mir3110	38210441	38210520	1	X
ENSMUSG00000076382	Gm23193	111194964	111195045	1	8
ENSMUSG00000092850	Mir344g	61982289	61982359	-1	7
ENSMUSG00000064679	Gm25357	109657125	109657196	1	12
ENSMUSG00000089051	Gm23354	108041697	108041800	-1	4
ENSMUSG00000092827	Mir3091	180257536	180257611	1	2
ENSMUSG00000096028	Gm25984	59593294	59593372	-1	7
ENSMUSG00000098710	Mir7067	70895508	70895570	-1	8
ENSMUSG00000088291	Gm26412	171732060	171732114	-1	1
ENSMUSG00000089287	Gm22944	4567203	4567335	-1	3
ENSMUSG00000087957	Gm22560	63509895	63510014	1	18
ENSMUSG00000076142	Mir711	108969922	108970003	1	9
ENSMUSG00000094438	Gm23618	59568964	59569042	-1	7
ENSMUSG00000076231	Gm22759	156322552	156322647	1	2
ENSMUSG00000087782	Gm23169	13334498	13334609	-1	1
ENSMUSG00000096030	Gm24424	54449958	54450064	-1	14
ENSMUSG00000077015	Gm22190	131532922	131533031	1	6
ENSMUSG00000065858	Gm22350	18445875	18446030	1	14
ENSMUSG00000096184	Gm23304	33628841	33628961	-1	4
ENSMUSG00000065312	Gm26063	46151698	46151804	-1	15
ENSMUSG00000088954	Gm24943	51799920	51800352	1	4
ENSMUSG00000077282	Gm26395	36654405	36654536	1	13
ENSMUSG00000094968	Gm22419	47749279	47749399	-1	1
ENSMUSG00000064964	Gm25147	18158687	18158791	1	2
ENSMUSG00000084426	Gm25105	73795128	73795257	-1	9
ENSMUSG00000089234	Gm22207	12356153	12356469	1	8
ENSMUSG00000064380	Gm26448	120129351	120129553	1	9
ENSMUSG00000087873	Gm26099	37060246	37060354	-1	X
ENSMUSG00000098718	Mir496b	16314892	16315004	-1	19
ENSMUSG00000064605	Gm22220	54239238	54239386	1	12
ENSMUSG00000025066	Sfr1	47731756	47735588	1	19
ENSMUSG00000065277	Gm25126	37317477	37317578	-1	8
ENSMUSG00000095818	Gm24954	89849394	89849503	-1	X
ENSMUSG00000095699	Gm26092	10512203	10512299	1	2
ENSMUSG00000088143	Gm24720	83355199	83355364	-1	18
ENSMUSG00000099308	Mir6367	91527443	91527544	-1	16
ENSMUSG00000046145	1700018M17Rik	59549154	59549625	1	4
ENSMUSG00000099191	Gm27375	51837151	51837257	1	14
ENSMUSG00000076232	Gm22760	70762140	70762232	-1	11
ENSMUSG00000077896	Mir879	9375704	9375779	1	5
ENSMUSG00000094598	Gm24694	16013818	16013927	1	3
ENSMUSG00000089252	Gm25715	86845470	86845594	1	16
ENSMUSG00000087718	Gm22236	110904795	110904900	-1	10
ENSMUSG00000092705	Gm24513	63273226	63273363	-1	1
ENSMUSG00000094489	Gm23269	89201167	89201273	-1	3
ENSMUSG00000077376	Gm25167	87582672	87582791	-1	3
ENSMUSG00000065714	Gm25652	5035360	5035462	1	15
ENSMUSG00000025200	Cwf19l1	44108644	44135876	-1	19
ENSMUSG00000087844	Mir1958	48213119	48213215	-1	4
ENSMUSG00000084516	Mir1902	104428861	104428940	-1	2
ENSMUSG00000077736	Gm24555	83921918	83922041	1	1
ENSMUSG00000092747	Gm22180	136609806	136609864	-1	4
ENSMUSG00000089106	Gm23116	14382807	14382873	1	16
ENSMUSG00000095604	Gm23424	36810891	36811000	1	18
ENSMUSG00000099001	Gm27660	91126348	91126555	-1	7
ENSMUSG00000064837	Snora75	86351169	86351301	-1	1
ENSMUSG00000088213	Gm22390	145481407	145481731	-1	2
ENSMUSG00000064577	Gm25799	34899017	34899123	1	11
ENSMUSG00000094842	Gm22639	44865307	44865431	1	4
ENSMUSG00000084531	Gm25843	50559762	50560075	1	1
ENSMUSG00000095989	Gm23049	29988388	29988489	1	6
ENSMUSG00000078655	Gm10972	94643112	94643600	1	3
ENSMUSG00000099330	Mir7053	44538106	44538178	-1	7
ENSMUSG00000065825	Gm26314	11850484	11850590	1	X
ENSMUSG00000092830	Mir3963	151023792	151023862	-1	3
ENSMUSG00000096731	Gm24316	50731053	50731159	1	14
ENSMUSG00000095701	Gm24830	96328425	96328590	1	3
ENSMUSG00000077287	Gm25763	18613981	18614109	-1	8
ENSMUSG00000095278	Gm27634	38637018	38637143	-1	2
ENSMUSG00000099284	Mir7026	110666075	110666141	-1	5
ENSMUSG00000087994	Gm25055	58704576	58704651	-1	10
ENSMUSG00000093026	Gm25301	61397813	61397925	1	18
ENSMUSG00000098813	Gm27326	97780182	97780276	-1	11
ENSMUSG00000099314	Gm27734	13819232	13819320	1	16
ENSMUSG00000080441	Mir1249	84951526	84951623	-1	15
ENSMUSG00000062376	Borcs7	46689906	46703382	1	19
ENSMUSG00000077472	Gm24791	123389801	123389931	-1	1
ENSMUSG00000080367	Gm25774	103415806	103415926	1	7
ENSMUSG00000093857	Btbd35f22	32047829	32049325	1	X
ENSMUSG00000098346	Mir6986	4623898	4623955	-1	19
ENSMUSG00000093280	Mir2861	32712807	32712888	-1	2
ENSMUSG00000089027	Gm25013	120609966	120610093	-1	3
ENSMUSG00000065853	Gm22354	52069300	52069369	1	14
ENSMUSG00000096565	Gm24100	59598904	59598982	-1	7
ENSMUSG00000077640	Gm24986	106221075	106221206	1	12
ENSMUSG00000093499	Gm25442	35325614	35325705	1	3
ENSMUSG00000076327	Gm26338	128094917	128095026	-1	6
ENSMUSG00000088628	Gm23315	53700847	53700955	-1	2
ENSMUSG00000084565	Mir1901	11840361	11840438	-1	18
ENSMUSG00000065560	Mir148b	103285125	103285221	1	15
ENSMUSG00000087929	Gm23234	100494681	100494814	-1	6
ENSMUSG00000065651	Gm25973	36842226	36842352	-1	17
ENSMUSG00000094864	Gm17521	123029202	123029669	-1	X
ENSMUSG00000088753	Gm24900	67462342	67462475	1	18
ENSMUSG00000093806	Asmt	170672644	170678054	1	X
ENSMUSG00000088096	Gm23672	144609004	144609110	-1	1
ENSMUSG00000096578	Gm9529	60966672	60967254	-1	19
ENSMUSG00000065789	Gm25869	103427437	103427543	1	3
ENSMUSG00000087708	Gm23000	66728415	66728553	1	X
ENSMUSG00000065883	Gm22865	121004089	121004302	1	2
ENSMUSG00000078008	Mir291a	3218919	3219000	1	7
ENSMUSG00000076118	Mir669c	10509296	10509404	1	2
ENSMUSG00000076338	Mir181d	84178716	84178787	-1	8
ENSMUSG00000077422	Gm24281	157430604	157430739	1	X
ENSMUSG00000015575	Atp6v0e	26676396	26699644	1	17
ENSMUSG00000070236	Gm26327	39630392	39630502	1	7
ENSMUSG00000094837	Gm25471	59761554	59761647	-1	7
ENSMUSG00000087881	Gm22442	69350518	69350661	-1	11
ENSMUSG00000088460	Gm24747	72111234	72111320	1	8
ENSMUSG00000093137	Gm25995	63442319	63442460	1	9
ENSMUSG00000064987	Gm25260	67027043	67027176	1	6
ENSMUSG00000088296	Gm26409	111075394	111075456	1	9
ENSMUSG00000094659	Mir466c-2	10483966	10484055	1	2
ENSMUSG00000099144	Gm27486	124425510	124425589	-1	5
ENSMUSG00000093300	Gm23799	56056636	56056755	-1	12
ENSMUSG00000089338	Gm22262	78670147	78670232	1	4
ENSMUSG00000087963	Gm25394	49684301	49684433	1	13
ENSMUSG00000084433	Gm25945	88707158	88707292	1	3
ENSMUSG00000087959	Gm22562	78533903	78534013	-1	17
ENSMUSG00000064887	Gm24205	66002346	66002452	-1	8
ENSMUSG00000091028	Gm10722	3000922	3002330	1	9
ENSMUSG00000065045	Gm24046	89967999	89968163	-1	3
ENSMUSG00000093355	Snora26	74093530	74093650	1	5
ENSMUSG00000084589	Gm25176	26260369	26260493	-1	19
ENSMUSG00000065553	Mir103-1	35782396	35782481	1	11
ENSMUSG00000076451	Mir770	109563692	109563785	1	12
ENSMUSG00000088565	Gm23781	11688697	11689004	-1	12
ENSMUSG00000089103	Gm23114	23626745	23626861	-1	11
ENSMUSG00000089015	Gm24996	75686740	75686838	-1	2
ENSMUSG00000105770	Mir664	185242975	185243043	1	1
ENSMUSG00000094003	n-R5s128	123586242	123586360	-1	8
ENSMUSG00000077902	Gm25787	111792920	111793011	-1	7
ENSMUSG00000106200	Gm44341	51202698	51202835	1	13
ENSMUSG00000095570	AC140325.3	146926	149659	-1	GL456354.1
ENSMUSG00000088853	Gm24730	63202738	63202854	1	17
ENSMUSG00000098786	Mir6995	47273519	47273589	-1	19
ENSMUSG00000088359	Gm24009	23674289	23674381	-1	5
ENSMUSG00000098585	Gm27910	24617011	24617117	-1	X
ENSMUSG00000064884	Gm24204	80088447	80088553	-1	15
ENSMUSG00000088409	Gm25882	136417812	136417896	1	6
ENSMUSG00000034041	Lyl1	84701457	84704715	1	8
ENSMUSG00000055072	Gm9964	79296179	79296906	-1	11
ENSMUSG00000084474	Gm25783	43698363	43698552	1	17
ENSMUSG00000087909	Gm22035	38898360	38898587	-1	13
ENSMUSG00000088269	Gm24777	97498916	97499022	-1	16
ENSMUSG00000065233	n-R5s60	67489113	67489231	-1	12
ENSMUSG00000065866	Gm24032	95896962	95897120	-1	13
ENSMUSG00000077582	Gm24374	8642934	8643039	1	10
ENSMUSG00000106642	Mir465d	66822656	66822713	-1	X
ENSMUSG00000089123	Gm26404	37802544	37802652	-1	3
ENSMUSG00000065625	Gm24765	9458670	9458772	1	1
ENSMUSG00000065105	Gm26130	12919585	12919722	1	17
ENSMUSG00000093403	Mir5616	149537863	149537922	1	4
ENSMUSG00000045506	A930002H24Rik	63863300	63863791	-1	17
